District,Rooms,median_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d,avg_inflation_1d,tuik_weighted_1d,avg_inflation_7d,tuik_weighted_7d,avg_inflation_15d,tuik_weighted_15d,avg_inflation_30d,tuik_weighted_30d
İstanbul / Fatih,3.5+1,35000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,4+0,15000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,4+1,67500.0,04,-10.0,12.5,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,4+2,78500.0,04,0.0,-39.38223938223938,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,5+1,75000.0,04,0.0,-5.063291139240507,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,5+4,12000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,6+1,190000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,7+1,60000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,8+2,100000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Fatih,Stüdyo (1+0),18000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,1+1,36750.0,04,-0.6756756756756757,5.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,1.5+1,22000.0,04,0.0,22.22222222222222,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,2+0,20000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,2+1,26500.0,04,0.0,1.9230769230769231,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,2+2,33500.0,04,0.0,-5.633802816901409,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,2.5+1,25000.0,04,0.0,2.0408163265306123,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,3+1,47000.0,04,0.0,4.444444444444445,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,3+2,29000.0,04,0.0,-9.375,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,3.5+1,36000.0,04,-10.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,4+1,58000.0,04,0.0,-27.500000000000004,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,4+2,44000.0,04,0.0,46.666666666666664,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,5+1,58000.0,04,0.0,-1.694915254237288,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Gaziosmanpaşa,Stüdyo (1+0),15000.0,04,-21.052631578947366,-20.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,1+1,45000.0,04,7.142857142857142,12.5,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,2+0,32000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,2+1,38000.0,04,0.0,18.75,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,3+1,42500.0,04,-2.857142857142857,-5.555555555555555,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,4+1,46000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,4+2,65000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,5+1,108000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Güngören,Stüdyo (1+0),14500.0,04,0.0,1.7543859649122806,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,1+1,32000.0,04,0.0,6.666666666666667,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,1.5+1,27500.0,04,1.8518518518518516,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,2+0,27000.0,04,0.0,3.8461538461538463,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,2+1,35000.0,04,0.0,-2.7777777777777777,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,2+2,41500.0,04,0.0,3.75,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,2.5+1,40000.0,04,0.0,14.285714285714285,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,3+0,15000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,3+1,45000.0,04,4.651162790697675,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,3+2,45000.0,04,0.0,7.142857142857142,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,3+3,52500.0,04,0.0,-16.666666666666664,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,3.5+1,140000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,4+1,70000.0,04,-33.33333333333333,-37.77777777777778,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,4+2,57500.0,04,0.0,-2.5423728813559325,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,4.5+1,55000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,5+1,250000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,5+2,57000.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,6+2,57000.0,04,0.0,,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
İstanbul / Kağıthane,8+1,7250.0,04,0.0,0.0,,,-0.08748090086376761,-0.08748090086376763,1.1186064386084011,1.118606438608401,,,,
