product_name,price (TL)
Banvit Piliç Kokteyl Sosis 500 g,128.9
Beşler Kokteyl Piliç Sosis 220 G,82.9
Namet Dana Jambon 60 g,81.9
Maret Pratik Hindi Füme 60 G,70.9
Pınar Füme Hindi But Etli Gurme 110 g,113.9
Pınar Füme Hindi Gurme 150 g,126.9
Maret 5'li Sosis 240 G,309.9
Beşler Kokteyl Sosis 400 Gr,141.9
Namet Seçme Dana Pastırma Kg,1899.9
Pınar Aç Bitir Macar Salam 60 G,81.9
Banvit Piliç Baton Sucuk 450 G,124.9
Maret Hindi Sosis 140 G,73.9
Namet Piliç Füme 150 G,109.9
Aytaç Hindi Mangal Sucuk 280 G,267.9
Polonez  Zeytinyağlı&Kekikli Hindi Füme 150 Gr,131.5
Başyazıcı Efsane Parmak Sucuk 300 Gr,605.9
Polonez Hindi Füme 2x110 G,159.9
Pınar Doyum Salam 700 Gr,251.9
Coşkun Yarım Ay Kangal Sucuk 300 g,389.9
Pınar Dana Sucuk Aç Bitir 75 g,109.9
Sultan Dilimli Piliç Salam 50 Gr,29.5
Sultan Dilimli Hindi Füme Et 50 Gr,43.9
Banvit Piliç Macar Salam 250 G,53.9
Apikoğlu Kangal Fermente Sucuk 280 G,723.9
Apikoğlu Dana Kangal Sucuk Kg,2149.9
Erşan Fermente Kangal Sucuk kg,999.9
Namet Hindi Füme Jambon Kg,679.9
Polonez Fıstıklı Hindi Salam,699.0
Namet Fermente Kangal Sucuk Kg,1399.9
Polonez Macar Salam Kg,1599.9
Polonez Seçme Pastırma,2999.9
Polonez Macar Fıstıklı Salam Kg,1599.9
Apikoğlu Dana Füme Dil 70 g,299.0
Fümeci Dilimli Dana Roasbeef Karabiberli Kg,4399.9
Apikoğlu Kurutulmuş Dana Füme Et 100 Gr,561.9
Sultan Dilimli Dana Pastırma Kg,2999.9
Banvit Bi'Dilim Piliç Salam 60 G,28.99
Namet Dana Karabiberli-Fıstıklı Salam Kg,1439.9
Beşler Vakumlu Sucuk 220 G,310.9
Namet Hindi Fıstıklı Salam 7/24 50 G,60.5
Namet Piliç Füme 7/24 50 G,39.9
Pınar Hindi Sucuk Mangal Keyfi 300 Gr,236.9
Fümeci Kuru Et Baton Kg,5319.9
Fümeci Kafkas Usulü Füme Et Kg,5599.9
Fümeci Dana Sosis  Jalapeno&Cheddar Peynirli Kg,2549.9
Pınar Gurme Sucuk 250 G,511.9
Namet Dana Sosis kg,959.9
Başyazıcı Fermente Kangal Sucuk Kg,1799.9
Başyazıcı Evlik Sucuk Kg,1799.9
Erşan Dana Kavurma 90 g,205.5
Erşan Dana Bacon 100 g,278.5
Sultan Kangal Sucuk Kg,1249.9
Sultan Dilimli Kavurma 100 Gr,298.9
Namet Dana Kokteyl Sosis 450 G,509.9
Aytaç Dana Mangal Fermente Sucuk 350 G,537.9
Sultan Isıl İşlem Görmüş Kangal Sucuk 200 Gr,343.9
Aytaç Macar Salam 60 G,72.9
Aytaç Hindi Salam 500 Gr,220.9
Polonez Hindi Kokteyl Sosis Kg,599.9
Aytaç Şipşak Hindi Salam Dilimli 50 G,33.5
Polonez Füme Et Kg,2990.0
Başyazıcı Seçme Pastırma 120 G,542.9
Polonez Kangal Sucuk 240 G,425.9
Maret Hindi Füme 110 G,174.9
Polonez Extra Dana Sosis Kg,1499.9
Polonez Biberli Füme Et (Rosebeef) Kg,2990.0
Polonez Dana İtalyan Salam Kg,3299.9
Namet Macar Salam Kg,1439.9
Apikoğlu Dana Parmak Sucuk Kg,2149.9
Namet Dilli Salam Kg,2099.9
Namet Dilimli Fıstıklı Salam 150 G,284.9
Polonez Hindi Fıstıklı Salam 90 Gr,76.9
Polonez Dana Fıstıklı Salam 90 Gr,149.9
Polonez Hindi Füme Göğüs Eti Kg,1479.9
Namet Baton Sucuk Kg,1799.9
Apikoğlu Çemeni Sıyrılmış Çerezlik Pastırma 100 Gr,524.9
Sultan Blok Kavurma kg,2699.9
Çoşkun Çatal Sucuk Kg,1479.9
Beşler Bi Lokma Hindi Füme 55 g,48.9
Beşler Bi Lokma Dana Jambon 50 G,75.9
Beşler Bi Lokma Macar Salam 55 Gr,64.9
Maret Kangal Sucuk 250 G,389.9
Fümeci Kontrafile Füme Kg,4549.9
Fümeci Dana Cotto Kg,4199.9
Fümeci Atıştırmalık Et Çubukları Kg,4129.9
Apikoğlu Dana Sucuk Vakumlu 210 G,562.9
Polonez Antrikot Pastırma Kg,3499.9
Maret Geleneksel Kangal Sucuk Kg,1279.9
Fümeci Kuzu Cotto Kg,4999.9
Fümeci Sosis Dana Frankfurter Kg,2449.9
Fümeci Hindi But Füme Sade Kg,2079.9
Fümeci Antrikot Füme Kg,4849.9
Fümeci Dana Bacon Kg,3879.9
Pınar Dana Kokteyl Sosis 215 Gr,327.9
Maret 10'lu Soyulmuş Sosis 432 G,499.9
Polonez Hindi Füme But Eti,1250.0
Namet Hindi Göğüs Füme Kg,1129.9
Namet Dil Füme Kg,3329.9
Polonez Biberli Füme Hindi But Eti,1250.0
Beşler Hünkar Piliç Dilimli Isıl İşlem Görmüş Sucuk 260 G,136.9
Cumhuriyet Parmak Sucuk Kg,2190.0
Namet Dilimli Jambon Tavuk 150 G,106.9
Maret Pratik Macar Salam 50 G,69.9
Polonez Füme Piliç Göğüs Kg,999.9
Maret Pratik Hindi Salam 60 G,61.9
Polonez Tavuk Jambon,599.0
Polonez Tost Jambon,1590.0
Polonez Etli Hindi Salam,699.0
Polonez Dana Füme Et Kg,3199.9
Polonez Sebzeli Tavuk Jambon,779.9
Polonez Dana Etli Fıstıklı Macar Salam,1690.0
Polonez Dana Baton Sucuk,2729.9
Polonez Biberli Salam,1690.0
Polonez Kavurma,3299.9
Apikoğlu Dana Et Çubukları Atıştırmalık Acılı 110 g,428.9
Apikoğlu Dana Sucuk 100 g,348.9
Apikoğlu Dana Tavalık Sucuk 200 Gr,561.9
Aytaç Kasap Isıl İşlem Görmiş Piliç Sucuk 300 Gr,258.9
Fümeci Dilimli Hindi Göğüs Füme Kg,2079.9
Sultan Dilimli Macar Salam 50 Gr,60.9
Sultan Dilimli Hindi Salam 50 Gr,36.5
Sultan Dilimli Piliç Füme Et 50 Gr,32.5
Polonez Dana Füme Kurutulmuş Et Kg,6259.9
Namet Blok Mortadella Salam Kg,1849.9
Namet Dana Jambon Kg,1599.9
Başyazıcı Dana Yarım Ay Sucuk 150 g,280.9
Namet Dana Fermente Kangal Sucuk 240 Gr,529.9
Pınar Aç Bitir Dana Macar Salam Büyük Dilim 50 g,67.9
Pınar Füme Hindi Karabiberli Gurme 110 g,94.9
Apikoğlu Klasik Dana Sucuk Kg,2790.0
Aytaç Şipşak Piliç Kokteyl Sosis 170 G,75.9
Namet Fermente Acılı Kangal Sucuk Kg,1399.9
Apikoğlu Dana Et Çubukları Atıştırmalık 110 g,428.9
Cumhuriyet Kangal Sucuk Kg,2190.0
Polonez Dana Fermente Kangal Sucuk Kg,1999.9
Namet Fıstıklı Macar Salam Kg,1439.9
Polonez Dana Acılı Fermente Kangal Sucuk Kg,1999.9
Polonez Dana Fermente Parmak Sucuk Kg,1999.9
Namet Dana Kavurma 150 g,485.9
Erşan Fermente Kangal Sucuk Acılı Kg,999.9
Erşan Kare Kavurma,1899.9
Erşan Kuru Et 100 Gr,427.5
Fümeci Fermente Kangal Sucuk Kg,2929.9
Fümeci Fermente Dilimli Chorizo Acılı Sucuk Kg,4399.9
Fümeci Smokehouse Cheddarlı Bratwurst Sosis kg,2549.9
Pınar Aç Bitir Hindi Fıstıklı Salam 50 g,44.5
Namet Piliç Jambon 50 G,37.9
Namet Dana Uzun Sosis Kg,959.9
Polonez Kasap Sucuk Kg,1749.9
Polonez Çemeni Sıyrılmış Pastırma 75 Gr,320.0
Sultan Aç Pişir Dilimli Dana Sucuk 60 g,112.9
Apikoğlu Dilimli Çemensiz Pastırma 90 G,530.9
Polonez Füme Piliç 150 G,99.9
Namet Dilimli Pastırma Çemeni Sıyrılmış 130 G,719.9
Sultan Dilim Dana Seçme Pastırma 100 Gr,429.9
Yayla Türk Hindi But İstim Kg,2119.9
Piliç Jülyen Sosis 250 g,100.9
Fümeci Krakova Kg,1079.9
Yayla Türk Tavuk Göğüs Bütün Füme Kg,1659.9
Yayla Türk Karabiberli Hindi But Füme Kg,2119.9
Yayla Türk Hindi Göğüs Bütün Füme Kg,1999.9
Namet Dana Dilimli Kavurma 200 Gr,384.5
Fümeci Sucuk Fıstıklı Hellimli Baton Kg,2879.9
Namet Işıl İşlem Görmüş Kangal Sucuk Kg,899.9
Yayla Türk Kekikli Hindi But Füme 120 G,252.9
Yayla Türk Dilimli Göğüs Füme 120 G,252.9
Yayla Türk Karabiberli Hindi But Füme 120 G,252.9
Fümeci Pate 250 G,517.9
Fümeci Frankfurter Emmentalli Sosis Kg,2549.9
Bütün Türk Somonu kg,289.0
Çipura 400-600 g,379.0
Çipura 300-400 g,379.0
Norveç Somon Dilim kg,999.0
Levrek 400-600 g,449.0
Balık Dünyası Tüp Kalamar Kg,299.0
Levrek 600-800 g,479.0
Leröy Somon Fileto 500 g,449.0
Balık Dünyası Kuyruklu Et Karides 16/20,499.0
Chefline Asia Sushi Nori 10 Yaprak 25 g,164.5
Levrek 800-1000 g,649.0
Dardanel Sushi Philadelphia Roll 205 g,259.0
Dardanel Sushi Tokyo Mix 190 g,279.0
Levrek 300-400 g,399.0
Çipura 600-800 g,499.0
Leroy Somon Füme 100 g,324.0
Carrefour Marine Deniz Ürünleri Salatası 200 Gr,225.0
Çipura 1000-1500 g,449.0
Kocaman Palamut Lakerda 200 g,219.0
Dardanel Sushida Somon Special Mix 200 g,279.0
Dardanel Sushida Teriyaki Tavuklu  Onigiri 125 g,115.0
Carrefour Biber Soslu Hamsi Marine 200 Gr,110.0
Dardanel Ton Onigiri 125 g,115.0
Leröy Somon Dilim 500 g,399.0
Dardanel California Onigiri 125 g,115.0
Palamut Adet,349.99
Red Tiger Yengeç Surimi 125 g,109.0
Balık Dünyası Marine Ahtapot 300 g,489.0
Balık Dünyası Karides Söğüş 300 Gr,299.0
Dardanel Yengeç Surimi 100 g,215.0
Dardanel Somon Havyar 115 g,769.0
Dardanel Siyah Havyar 100 g,549.0
Carrefour Türk Somonu Füme 100 g,249.0
Kocaman Sardalya Ançüez Dereotlu Marine 90 Gr,379.0
Leroy Somon Füme Kırıntı 100 g,159.0
Kocaman Hamsi Marine Sarımsaklı 200 Gr,189.0
Kocaman Deniz Ürünleri Salatası Marine 200 Gr,399.0
Kocaman Hamsi Marine Garnitürlü 200 Gr,189.0
Red Tiger Yengeç Surimi 250 g,209.0
Red Tiger Istakoz Surimi 250 g,209.0
Carrefour Somon Füme 100 Gr,299.0
Kocaman Karadeniz Somon Füme 100 g,214.0
