canonical_key,tuik_category,sector,product_key,store,relative_compare
cappy pulpy portakal 1 l,01,market,Cappy Pulpy Portakal 1 L,Hapeloglu,
cappy pulpy portakal parcacikli meyve suyu 1 lt,01,market,Cappy Pulpy Portakal Parçacıklı Meyve Suyu 1 Lt,Marketzade,6.951871657754016
cappy ramazan serbeti 1 l,01,market,Cappy Ramazan Şerbeti 1 L,Hapeloglu,0.0
cappy seftali meyve suyu 1 lt,01,market,Cappy Şeftali Meyve Suyu 1 Lt,Marketzade,7.4866310160427885
cappy seftali meyve suyu cam 250 ml,01,market,Cappy Şeftali Meyve Suyu Cam 250 Ml,Marketzade,0.0
cappy seftali nektari 1 l,01,market,Cappy Şeftali Nektarı 1 L,Hapeloglu,
cappy visne nektari 1 l,01,market,Cappy Vişne Nektarı 1 L,Hapeloglu,-28.260869565217394
cappy visneli meyve suyu cam 250 ml,01,market,Cappy Vişneli Meyve Suyu Cam 250 Ml,Marketzade,0.0
capraz askili atlet - acik pembe,03,clothing,Çapraz askılı atlet - Açık pembe,Stradivarius,0.0
capraz askili atlet - acik sari,03,clothing,Çapraz askılı atlet - Açık sarı,Stradivarius,0.0
capraz askili atlet - ekru,03,clothing,Çapraz askılı atlet - Ekru,Stradivarius,0.0
capraz askili baskili canta,03,clothing,Çapraz askılı baskılı çanta,Bershka,0.0
capraz askili canta,03,clothing,Çapraz askılı çanta,Bershka,0.0
capraz bantli sneakerina - pembe,03,clothing,Çapraz bantlı sneakerina - PEMBE,Stradivarius,0.0
capraz barrel bermuda,03,clothing,Çapraz barrel bermuda,Bershka,0.0
capraz bel bermuda - soluk efektli parca boyama denim,03,clothing,Çapraz bel bermuda - SOLUK EFEKTLİ PARÇA BOYAMA DENIM,Stradivarius,6.2893081761006275
capraz bel pantolon,03,clothing,Çapraz bel pantolon,Bershka,0.0
capraz belli denim bermuda,03,clothing,Çapraz belli denim bermuda,Bershka,0.0
capraz belli genis kesim jean,03,clothing,Çapraz belli geniş kesim jean,Bershka,
capraz belli genis paca bermuda - siyah,03,clothing,Çapraz belli geniş paça bermuda - Siyah,Stradivarius,
capraz belli jort sort - beyaz,03,clothing,Çapraz belli jort şort - Beyaz,Stradivarius,
capraz belli pantolon,03,clothing,Çapraz belli pantolon,Bershka,0.0
capraz belli wide leg jean,03,clothing,Çapraz belli wide leg jean,Bershka,
capraz halter bluz,03,clothing,Çapraz halter bluz,Bershka,0.0
capraz halter top,03,clothing,Çapraz halter top,Bershka,47.36842105263157
caraskal 2 ton 3 metre biglift,05,construction,CARASKAL 2 TON 3 METRE BIGLIFT,yapimaks,0.0
caraskal 500 kg 3 metre biglift bigcar0.5-3,05,construction,CARASKAL 500 KG 3 METRE BIGLIFT BIGCAR0.5-3,yapimaks,0.0
cardi b baskili kapusonlu sweatshirt,03,clothing,Cardi B baskılı kapüşonlu sweatshirt,Bershka,0.0
cardi b. kisa kollu baskili tisort,03,clothing,Cardi B. kısa kollu baskılı tişört,Bershka,0.0
carine 2'si 1 arada sampuan 400 ml,13,cosmetics,CARINE 2'si 1 Arada Şampuan 400 ml,Dermomarket,0.0
carine ayak bakim kremi 100 ml,13,cosmetics,CARINE Ayak Bakım Kremi 100 ml,Dermomarket,0.0
carine ayak banyo tuzu 300 ml,13,cosmetics,CARINE Ayak Banyo Tuzu 300 ml,Dermomarket,0.0
carine bebek banyo kopugu 400 ml,13,cosmetics,CARINE Bebek Banyo Köpüğü 400 ml,Dermomarket,0.0
carine bebek vucut losyonu 300 ml,13,cosmetics,CARINE Bebek Vücut Losyonu 300 ml,Dermomarket,0.0
carine bebek yikama jeli 400 ml,13,cosmetics,CARINE Bebek Yıkama Jeli 400 ml,Dermomarket,0.0
carine bebek yuz kremi 50 ml,13,cosmetics,CARINE Bebek Yüz Kremi 50 ml,Dermomarket,0.0
carine dus jeli 400 ml,13,cosmetics,CARINE Duş Jeli 400 ml,Dermomarket,0.0
carine pisik bakim kremi 150 ml,13,cosmetics,CARINE Pişik Bakım Kremi 150 ml,Dermomarket,0.0
carine premium yetiskin hasta bezi 30 adet - m beden,13,cosmetics,CARINE Premium Yetişkin Hasta Bezi 30 Adet - M Beden,Dermomarket,0.0
carine vucut temizleme havlusu 48 yaprak,13,cosmetics,Carine Vücut Temizleme Havlusu 48 Yaprak,Dermomarket,0.0
carine vucut yikama losyonu 400 ml,13,cosmetics,CARINE Vücut Yıkama Losyonu 400 ml,Dermomarket,0.0
carine yuz ve boyun bakim kremi 100 ml,13,cosmetics,CARINE Yüz ve Boyun Bakım Kremi 100 ml,Dermomarket,0.0
"carmen siyah 60x120 1k mat rek (1,44m2)",05,construction,"CARMEN SİYAH 60X120 1K MAT REK (1,44M2)",yapimaks,0.0
carmex classic lip balm 10 g,13,cosmetics,Carmex Classic Lip Balm 10 g,Dermomarket,0.0
carmex classic lip balm 7.5 g,13,cosmetics,Carmex Classic Lip Balm 7.5 g,Dermomarket,0.0
