tuik_category,sector,product_key,price,store,basic_inflation_15d,basic_inflation_30d
05,construction,10130312,55.0,Bauhaus,0.0,
05,construction,10130313,60.0,Bauhaus,0.0,
05,construction,10130316,135.0,Bauhaus,0.0,
05,construction,10130317,175.0,Bauhaus,0.0,
05,construction,10130318,195.0,Bauhaus,0.0,
05,construction,10130319,245.0,Bauhaus,0.0,
05,construction,10130320,55.0,Bauhaus,0.0,
05,construction,10130321,105.0,Bauhaus,0.0,
05,construction,10130322,20.0,Bauhaus,0.0,
05,construction,10130323,30.0,Bauhaus,0.0,
05,construction,10130324,30.0,Bauhaus,0.0,
05,construction,10130326,60.0,Bauhaus,0.0,
05,construction,10130327,140.0,Bauhaus,0.0,
05,construction,10130349,70.0,Bauhaus,0.0,
05,construction,10130356,130.0,Bauhaus,0.0,
05,construction,10130357,175.0,Bauhaus,0.0,
05,construction,10130361,505.0,Bauhaus,0.0,
05,construction,10130363,530.0,Bauhaus,0.0,
05,construction,10130365,395.0,Bauhaus,0.0,
05,construction,10130367,435.0,Bauhaus,0.0,
05,construction,10130373,595.0,Bauhaus,0.0,
05,construction,10130374,710.0,Bauhaus,0.0,
05,construction,10130375,720.0,Bauhaus,0.0,
05,construction,10130376,860.0,Bauhaus,0.0,
05,construction,10130381,245.0,Bauhaus,0.0,
05,construction,10130382,350.0,Bauhaus,0.0,
05,construction,10130383,620.0,Bauhaus,0.0,
05,construction,10130385,895.0,Bauhaus,0.0,
05,construction,10130389,850.0,Bauhaus,0.0,
05,construction,10130390,985.0,Bauhaus,0.0,
05,construction,10130549,95.0,Bauhaus,0.0,
05,construction,10130550,45.0,Bauhaus,0.0,
05,construction,10130551,95.0,Bauhaus,0.0,
05,construction,10130552,135.0,Bauhaus,0.0,
05,construction,10130555,50.0,Bauhaus,0.0,
05,construction,10130569,70.0,Bauhaus,0.0,
05,construction,10130571,120.0,Bauhaus,0.0,
05,construction,10130572,120.0,Bauhaus,0.0,
05,construction,10130574,150.0,Bauhaus,0.0,
05,construction,10130592,20.0,Bauhaus,0.0,
05,construction,10130593,65.0,Bauhaus,0.0,
05,construction,10130594,65.0,Bauhaus,0.0,
05,construction,10130597,190.0,Bauhaus,0.0,
05,construction,10130600,415.0,Bauhaus,0.0,
05,construction,10130601,445.0,Bauhaus,0.0,
05,construction,10130602,310.0,Bauhaus,0.0,
