Category,Product Name,Price,Date
Yapı Market & Bahçe,KALEKİM ULTRA FUGA KAPADOKYA BEJ 5/1,625.0,2026-03-16
Yapı Market & Bahçe,MAGMAWELD MİNİSTİCK KAYNAK MAKİNASI 140 AMP KUTUL.,9845.9,2026-03-16
Yapı Market & Bahçe,"MAGMAWELT OERLİKON  ELEKTROD 3,25.",375.9,2026-03-16
Yapı Market & Bahçe,MEŞEM 4370 OTOMATİK KABLO SIYIRICI,500.0,2026-03-16
Yapı Market & Bahçe,MEŞEM 751 BUDAMA TESTERE PLASTİK SAP KILIFSIZ,174.96,2026-03-16
Yapı Market & Bahçe,MOTİP ISIYA DAYANIKLI SİYAH BOYA 400 ML,600.0,2026-03-16
Yapı Market & Bahçe,MİLWAUKEE4932459093 SU TERAZİ 100 CM,1111.09,2026-03-16
Yapı Market & Bahçe,NAKSAN EBATLI BRANDA 120 MM 4X5,899.0,2026-03-16
Yapı Market & Bahçe,NOVAX ALYAN ANAHTAR SET KISA 9LU,271.56,2026-03-16
Yapı Market & Bahçe,NOVAX SPREY BOYA 200 ML KIRMIZI,128.0,2026-03-16
Yapı Market & Bahçe,NOVAX TAMİR BANTI 48X10 MT SİYAH,1124.96,2026-03-16
Yapı Market & Bahçe,"NOVAX TIRPAN MİSİNA ALTIGEN 3,3 MM 45 MT",292.96,2026-03-16
Yapı Market & Bahçe,"NOVAX TIRPAN MİSİNA KARE SİYAH 3,3 MM 41 MT.",399.96,2026-03-16
Yapı Market & Bahçe,NOVAX TORX ALYAN ANAHTAR UZUN 8 Lİ SET,399.87,2026-03-16
Yapı Market & Bahçe,Nkp Basmalı Alttan Su Giriş. 3/8 Klozet Rez. İÇ T.,899.0,2026-03-16
Yapı Market & Bahçe,PROCESS OPENAKS HALATLI EMNİYET KİLİDİ,350.0,2026-03-16
Yapı Market & Bahçe,RHG1003 MULTİ AYARLI SPREY TABANCA.,386.0,2026-03-16
Yapı Market & Bahçe,RTM9120 Şarjlı Budama Testeresi 16.8W.2*2AH,5800.0,2026-03-16
Yapı Market & Bahçe,RTMMAX RTM0124 HAVALI ZIMBA VE ÇİVİ ÇAKMA TAB.,3170.9,2026-03-16
Yapı Market & Bahçe,SELSİL PU MONTAJ KÖPÜĞÜ 750 ML/845 GR TAB.TURKUAZ,294.88,2026-03-16
Yapı Market & Bahçe,SELSİL SİLİKON 280GR ŞEFFAF,120.0,2026-03-16
Yapı Market & Bahçe,Saraylı Merdiven (4+1) 5Li Profesyonel Alüminyum,3802.96,2026-03-16
Yapı Market & Bahçe,SİSTA EXTRA WHİTE SİLİKON BEYZ 280 ML,249.0,2026-03-16
Yapı Market & Bahçe,SİSTA ÜNİVERSAL SİLİKON 280 ML ŞEFFAF,215.0,2026-03-16
Yapı Market & Bahçe,TYSON ZIMBA TABANCASI,985.41,2026-03-16
Yapı Market & Bahçe,YMN 115 MM SOKETLİ KESİCİ,121.89,2026-03-16
Yapı Market & Bahçe,YMN LOKMA TAKIMI 40 PARÇA,600.0,2026-03-16
Yapı Market & Bahçe,YMN SAATÇİ TORNAVİDA SETİ,89.13,2026-03-16
Yapı Market & Bahçe,"YMN TEK YAĞMURLUK 0,32 MM YEŞİL",305.9,2026-03-16
Yapı Market & Bahçe,ÖZTÜRK SGS272 SİLİKON TABANCASI PROF,440.0,2026-03-16
