Product Title,Monthly Inflation(%)
AIRTECH STANDART FIT GENİŞ PAÇA DOKUMA SPORCU PANTOLON,0.0
AIRTECH STRAIGHT FIT MODAL SPORCU PANTOLON,0.0
AJURLU HIRKA KIZ ÇOCUK,0.0
AJURLU KISA KOLLU HIRKA,0.0
AJURLU SÜVETER KIZ ÇOCUK,0.0
AKIŞKAN KUMAŞ GÖMLEK ERKEK ÇOCUK,0.0
AKIŞKAN KUMAŞ GÖMLEK KIZ ÇOCUK,0.0
AKIŞKAN KUMAŞLI TULUM KIZ BEBEK,0.0
AKSESUAR DETAYLI BÜRÜMCÜK TİŞÖRT,0.0
ANUA - HEARTLEAF 77% CLEAR PAD (GÖZENEK VE SİYAH NOKTA KARŞITI ASİTLİ TONİK PED) 160ML,0.0
ANUA AİRY SUN CREAM SPF50+ PA++++ CENTELLA VE MUGWORT ÖZLÜ GÜNEŞ KREMİ 50ML,0.0
APAŞ YAKA GÖMLEK ERKEK ÇOCUK,0.0
APLİKE 2'Lİ TAKIM SWEATSHİRT EŞOFMAN ALTI KIZ BEBEK,0.0
ARAÇ BASKILI 2'Lİ TAKIM ERKEK BEBEK,8.333472224537076
ARAÇ BASKILI 3'LÜ ATLET ERKEK ÇOCUK,0.0
ARAÇ BASKILI PENYE 3'LÜ SLİP KÜLOT ERKEK ÇOCUK,0.0
ARAÇ BASKILI TİŞÖRT ŞORT 2'Lİ TAKIM ERKEK BEBEK,0.0
ASKILI JEAN ELBİSE KIZ BEBEK,0.0
ASKILI MİDİ ELBİSE,0.0
ASİMETRİK KAYIK YAKA BÜRÜMCÜK TİŞÖRT,0.0
ASİMETRİK MİDİ ETEK,0.0
ASİMETRİK MİNİ ETEK,0.0
ASİMETRİK NORMAL BEL DANTELLİ MİDİ ETEK,-40.000307694674575
ASİMETRİK NORMAL BEL KREP MİDİ ETEK,0.0
ASİMETRİK PİKE,0.0
ASİMETRİK RENK BLOKLU TÜL ASKILI MİDİ ELBİSE,0.0
ASİMETRİK ÇİÇEKLİ NORMAL BEL PENYE ASTAR TÜL ETEK,0.0
ATATÜRK BASKILI TİŞÖRT ERKEK ÇOCUK,0.0
ATATÜRK BASKILI TİŞÖRT KIZ ÇOCUK,0.0
ATATÜRK İMZALI NAKIŞLI PAMUKLU CAP ŞAPKA ERKEK ÇOCUK,0.0
ATATÜRK İMZALI PAMUKLU CAP ŞAPKA KIZ ÇOCUK,0.0
ATKILI TRİKO HIRKA,0.0
ATKILI TRİKO KAZAK,-30.00025000208335
ATLET,8.33361112037068
