urun_id,urun_adi,kategori,fiyat,urun_url
2,İzmir Serigrafi Fotolümen Toplanma Yeri / Assembly Station 2.6 mm PVC Uyarı Levhası 10 x 30 cm,İş Güvenlik Ürünleri,"34,32TL",https://www.hancivata.com/is-guvenlik-urunleri/izmir-serigrafi-fotolumen-toplanma-yeri-assembly-station-2.6-mm-pvc-uyari-levhasi-10-x-30-cm
74,JUNİOR Işçi Ikaz Fosforlu Reflektörlü Turuncu Yelek Standart,İş Güvenlik Ürünleri,"70,40TL",https://www.hancivata.com/is-guvenlik-urunleri/junior-isci-ikaz-fosforlu-reflektorlu-turuncu-yelek-standart-74
816,Kaygan Zemin Levhası,İş Güvenlik Ürünleri,"350,00TL",https://www.hancivata.com/is-guvenlik-urunleri/kaygan-zemin-levhasi-816
040,MAFEL MF-040 GRİ+SİYAH ELDİVEN XL (12 ADET),İş Güvenlik Ürünleri,"156,00TL",https://www.hancivata.com/is-guvenlik-urunleri/mafel-mf-040-grisiyah-eldiven-xl-12-adet
,PARAŞÜT TİPİ EMNİYET KEMERİ CE'Lİ SAFESET,İş Güvenlik Ürünleri,"880,00TL",https://www.hancivata.com/is-guvenlik-urunleri/parasut-tipi-emniyet-kemeri-ce-li-safeset
,PVC ÇİZME UZUN HAKİ RENK,İş Güvenlik Ürünleri,"704,00TL",https://www.hancivata.com/is-guvenlik-urunleri/pvc-cizme-uzun-haki-renk
,Safeset Halat Tutucu Mekanizma,İş Güvenlik Ürünleri,"440,00TL",https://www.hancivata.com/is-guvenlik-urunleri/safeset-halat-tutucu-mekanizma
,STANDART İKAZ YELEĞİ FOSFORLU TURUNCU VE SARI RENK,İş Güvenlik Ürünleri,"88,00TL",https://www.hancivata.com/is-guvenlik-urunleri/standart-ikaz-yelegi-fosforlu-turuncu-ve-sari-renk
78,Standart Ikaz Yeleği Sarı ve Turuncu Renk,İş Güvenlik Ürünleri,"48,00TL",https://www.hancivata.com/is-guvenlik-urunleri/standart-ikaz-yelegi-sari-ve-turuncu-renk-78
2812,STARLİNE FLB2812 KİMYASAL DOĞAL KAUÇUK ELDİVEN SİYAH 32cm NO:8,İş Güvenlik Ürünleri,"88,00TL",https://www.hancivata.com/is-guvenlik-urunleri/starline-flb2812-kimyasal-dogal-kaucuk-eldiven-siyah-32cm-no-8-784
2812,STARLİNE FLB2812 KİMYASAL DOĞAL KAUÇUK ELDİVEN SİYAH 32cm NO:9,İş Güvenlik Ürünleri,"88,00TL",https://www.hancivata.com/is-guvenlik-urunleri/starline-flb2812-kimyasal-dogal-kaucuk-eldiven-siyah-32cm-no-9-788
2813,STARLİNE FLO2813 KİMYASAL ELDİVEN TURUNCU NO:7,İş Güvenlik Ürünleri,"88,00TL",https://www.hancivata.com/is-guvenlik-urunleri/starline-flo2813-kimyasal-eldiven-turuncu-no-7-793
