tarih,malatya_avg_inflation_1d,malatya_tuik_weighted_1d,malatya_avg_inflation_7d,malatya_tuik_weighted_7d,malatya_avg_inflation_15d,malatya_tuik_weighted_15d,malatya_avg_inflation_30d,malatya_tuik_weighted_30d,elazig_avg_inflation_1d,elazig_tuik_weighted_1d,elazig_avg_inflation_7d,elazig_tuik_weighted_7d,elazig_avg_inflation_15d,elazig_tuik_weighted_15d,elazig_avg_inflation_30d,elazig_tuik_weighted_30d,tunceli_avg_inflation_1d,tunceli_tuik_weighted_1d,tunceli_avg_inflation_7d,tunceli_tuik_weighted_7d,tunceli_avg_inflation_15d,tunceli_tuik_weighted_15d,tunceli_avg_inflation_30d,tunceli_tuik_weighted_30d,malatya_avg_inflation_2026-05-23,malatya_tuik_weighted_2026-05-23,elazig_avg_inflation_2026-05-23,elazig_tuik_weighted_2026-05-23,tunceli_avg_inflation_2026-05-23,tunceli_tuik_weighted_2026-05-23
2026-05-18,-0.651876,-0.651876,0.747286,0.747286,3.300273,3.300273,5.866786,5.866786,-0.611191,-0.611191,-1.292478,-1.292478,-1.452281,-1.452281,0.327234,0.327234,0.0,0.0,0.581395,0.581395,4.148936,4.148936,-1.344086,-1.344086,,,,,,
2026-05-19,-0.655152,-0.655152,-0.067064,-0.067064,2.051271,2.051271,6.455459,6.455459,1.186088,1.186088,-2.116795,-2.116795,-0.024426,-0.024426,0.430411,0.430411,1.071429,1.071429,-2.083333,-2.083333,-5.722215,-5.722215,0.788043,0.788043,,,,,,
2026-05-20,1.060451,1.060451,0.504189,0.504189,6.985535,6.985535,9.41518,9.41518,-0.205259,-0.205259,-1.322043,-1.322043,-1.289654,-1.289654,-0.454209,-0.454209,0.0,0.0,-3.553922,-3.553922,-2.659574,-2.659574,0.530914,0.530914,,,,,,
2026-05-21,-0.279947,-0.279947,0.092104,0.092104,2.911426,2.911426,1.923853,1.923853,0.864844,0.864844,0.785366,0.785366,-0.147946,-0.147946,1.324739,1.324739,-0.607002,-0.607002,-2.816206,-2.816206,-1.06383,-1.06383,-1.898434,-1.898434,,,,,,
2026-05-22,-0.560205,-0.560205,-0.527137,-0.527137,0.583156,0.583156,3.527874,3.527874,-0.873328,-0.873328,-0.767546,-0.767546,-0.185477,-0.185477,1.859037,1.859037,-0.37037,-0.37037,1.940994,1.940994,12.204981,12.204981,2.358668,2.358668,,,,,,
2026-05-23,0.076892,0.076892,0.185887,0.185887,1.36491,1.36491,3.115362,3.115362,0.454821,0.454821,0.765803,0.765803,0.98322,0.98322,1.729424,1.729424,0.0,0.0,-0.439959,-0.439959,9.175145,9.175145,2.358668,2.358668,,,,,,
2026-05-24,-0.511836,-0.511836,-0.555411,-0.555411,3.022039,3.022039,4.87191,4.87191,-0.423981,-0.423981,0.513013,0.513013,0.468665,0.468665,1.961195,1.961195,-1.136364,-1.136364,-1.352108,-1.352108,5.33288,5.33288,3.303303,3.303303,,,,,,
2026-05-25,0.774507,0.774507,-0.800991,-0.800991,1.972075,1.972075,5.542792,5.542792,0.508712,0.508712,1.814814,1.814814,0.606675,0.606675,0.453383,0.453383,0.896739,0.896739,-0.594532,-0.594532,6.419837,6.419837,11.284314,11.284314,,,,,,
2026-05-26,-0.265816,-0.265816,0.011646,0.011646,0.822561,0.822561,3.433795,3.433795,-1.004326,-1.004326,-0.935264,-0.935264,-1.807646,-1.807646,-0.60727,-0.60727,-2.999753,-2.999753,-3.007323,-3.007323,7.751938,7.751938,5.241228,5.241228,,,,,,
2026-05-27,0.247393,0.247393,-1.486836,-1.486836,1.771448,1.771448,7.589481,7.589481,0.130094,0.130094,-0.065912,-0.065912,-1.164384,-1.164384,0.48084,0.48084,2.828526,2.828526,-0.352974,-0.352974,-10.166667,-10.166667,17.22096,17.22096,,,,,,
2026-05-28,-0.794533,-0.794533,-1.048535,-1.048535,-0.862177,-0.862177,5.350955,5.350955,-0.455227,-0.455227,-2.512865,-2.512865,-0.717565,-0.717565,-0.941715,-0.941715,0.571718,0.571718,-5.18863,-5.18863,-23.958333,-23.958333,5.840278,5.840278,,,,,,
2026-05-29,-0.060265,-0.060265,0.263192,0.263192,-1.161972,-1.161972,1.429267,1.429267,-0.279391,-0.279391,-1.230242,-1.230242,0.05855,0.05855,0.164102,0.164102,0.0,0.0,-4.963144,-4.963144,-22.101449,-22.101449,3.5625,3.5625,,,,,,
2026-05-30,-0.042409,-0.042409,0.123323,0.123323,-1.538015,-1.538015,2.306931,2.306931,-0.080258,-0.080258,-1.807492,-1.807492,-1.911627,-1.911627,0.381502,0.381502,-0.5,-0.5,-5.627596,-5.627596,-15.557751,-15.557751,4.277778,4.277778,,,,,,
2026-05-31,0.808277,0.808277,1.037401,1.037401,0.151768,0.151768,5.692204,5.692204,0.395817,0.395817,-0.844126,-0.844126,-1.229798,-1.229798,-0.980561,-0.980561,1.822917,1.822917,-1.970846,-1.970846,-14.078675,-14.078675,9.620728,9.620728,,,,,,
2026-06-01,0.451157,0.451157,0.53192,0.53192,0.516409,0.516409,3.205836,3.205836,0.080716,0.080716,-1.372736,-1.372736,-0.336105,-0.336105,1.08823,1.08823,-0.950269,-0.950269,0.557244,0.557244,2.424242,2.424242,6.765203,6.765203,,,,,,
2026-06-02,-0.458397,-0.458397,0.771452,0.771452,1.089822,1.089822,5.223653,5.223653,-1.241439,-1.241439,-1.640361,-1.640361,-0.509909,-0.509909,-0.233856,-0.233856,-1.627784,-1.627784,6.135531,6.135531,-3.880105,-3.880105,4.867528,4.867528,,,,,,
2026-06-03,-0.18123,-0.18123,0.264738,0.264738,1.233331,1.233331,6.400924,6.400924,0.011894,0.011894,-1.756543,-1.756543,-1.721852,-1.721852,0.192997,0.192997,0.0,0.0,2.654014,2.654014,-5.624291,-5.624291,1.449027,1.449027,,,,,,
2026-06-04,0.232895,0.232895,0.653051,0.653051,0.480426,0.480426,8.314984,8.314984,-0.673785,-0.673785,-2.023716,-2.023716,-2.288496,-2.288496,-0.957995,-0.957995,0.381729,0.381729,2.286585,2.286585,-6.078837,-6.078837,4.186029,4.186029,,,,,,
2026-06-05,1.072638,1.072638,1.153414,1.153414,3.599779,3.599779,5.463292,5.463292,0.019687,0.019687,-1.661404,-1.661404,-3.756218,-3.756218,-0.47344,-0.47344,1.558964,1.558964,3.963415,3.963415,3.514212,3.514212,13.592881,13.592881,,,,,,
2026-06-06,0.634813,0.634813,1.633797,1.633797,4.76435,4.76435,6.037909,6.037909,0.923393,0.923393,-0.452095,-0.452095,-1.884116,-1.884116,-1.016089,-1.016089,0.675381,0.675381,5.176575,5.176575,5.738119,5.738119,18.32492,18.32492,,,,,,
2026-06-07,-0.661945,-0.661945,-0.027381,-0.027381,3.666958,3.666958,5.294765,5.294765,0.048491,0.048491,-0.64227,-0.64227,-2.379638,-2.379638,0.461472,0.461472,0.0,0.0,3.353659,3.353659,5.738119,5.738119,13.622416,13.622416,,,,,,
2026-06-08,-0.118031,-0.118031,0.81074,0.81074,3.979952,3.979952,6.945158,6.945158,0.011209,0.011209,-0.68045,-0.68045,-1.882594,-1.882594,-0.55849,-0.55849,-0.505051,-0.505051,0.53685,0.53685,6.571453,6.571453,9.948671,9.948671,,,,,,
2026-06-09,-0.227061,-0.227061,0.167355,0.167355,3.094614,3.094614,9.690987,9.690987,0.439042,0.439042,0.734168,0.734168,-1.47306,-1.47306,0.264556,0.264556,-1.010101,-1.010101,0.815217,0.815217,3.422398,3.422398,4.740338,4.740338,,,,,,
2026-06-10,-0.519153,-0.519153,1.165648,1.165648,0.686618,0.686618,5.409363,5.409363,-1.091497,-1.091497,-0.656221,-0.656221,-1.640835,-1.640835,-1.577336,-1.577336,1.413454,1.413454,2.388716,2.388716,9.334118,9.334118,17.44186,17.44186,,,,,,
