Date,Price,District,Rooms
2026-03-30,13000,Yahşihan,2+0
2026-03-30,24000,"Merkez
Tepebaşı",3+1
2026-03-30,12500,Yahşihan,2+0
2026-03-30,14250,Yahşihan,2+1
2026-03-30,21000,Yahşihan,2+1
2026-03-30,13000,Yahşihan,2+1
2026-03-30,14500,"Merkez
Sanayi",3+1
2026-03-30,20500,"Merkez
Tepebaşı",3+0
2026-03-30,17000,"Merkez
Sanayi",3+1
2026-03-30,13500,Yahşihan,2+1
2026-03-30,13500,"Merkez
Sanayi",3+1
2026-03-30,15000,"Merkez
Sanayi",3+1
2026-03-30,19000,Yahşihan,2+1
2026-03-30,14500,"Merkez
Sanayi",3+1
2026-03-30,23500,Yahşihan,4+1
2026-03-30,23000,"Merkez
Fabrikalar",2+1
2026-03-30,42500,Yahşihan,4+1
2026-03-30,11000,"Merkez
Sanayi",3+1
2026-03-30,9000,"Merkez
Fabrikalar",3+1
2026-03-30,8000,"Merkez
Sanayi",3+1
2026-03-30,11000,Bahşılı,2+1
2026-03-30,12000,"Merkez
Yuva",2+1
2026-03-30,36000,Yahşihan,3+1
2026-03-30,14750,Yahşihan,2+0
2026-03-30,11000,"Merkez
Tepebaşı",3+1
2026-03-30,18000,"Merkez
Sanayi",3+1
2026-03-30,11250,Yahşihan,2+1
2026-03-30,22000,Yahşihan,2+1
2026-03-30,15500,Yahşihan,3+1
2026-03-30,25000,Yahşihan,3+1
2026-03-30,16000,"Merkez
Fabrikalar",2+0
2026-03-30,18500,"Merkez
Tepebaşı",2+1
2026-03-30,10000,"Merkez
Fabrikalar",3+1
2026-03-30,13000,"Merkez
Fabrikalar",3+1
2026-03-30,16000,"Merkez
Fabrikalar",3+1
2026-03-30,20000,"Merkez
Tepebaşı",3+1
2026-03-30,15000,"Merkez
Yuva",3+1
2026-03-30,9250,"Merkez
Yuva",3+1
2026-03-30,11500,"Merkez
Tepebaşı",3+1
2026-03-30,15500,"Merkez
Fabrikalar",3+1
2026-03-30,12500,"Merkez
Tepebaşı",3+1
2026-03-30,20000,"Merkez
Tepebaşı",3+1
2026-03-30,25000,Yahşihan,3+1
2026-03-30,15000,"Merkez
Tepebaşı",3+1
2026-03-30,16500,Yahşihan,1+1
2026-03-30,10500,"Merkez
Tepebaşı",4+1
2026-03-30,10000,Yahşihan,2+1
2026-03-30,33000,"Merkez
Tepebaşı",3+1
2026-03-30,9750,"Merkez
Tepebaşı",2+1
2026-03-30,11000,"Merkez
Tepebaşı",2+1
2026-03-30,18500,Yahşihan,3+1
2026-03-30,9700,Yahşihan,2+1
2026-03-30,22000,"Merkez
Fabrikalar",3+1
2026-03-30,15000,"Merkez
Tepebaşı",2+1
