ID,SKU,Product Name,Category,Price (TL),URL
64,CETA.H99-04-06,CETA FORM Torx H99-04-06 Elektronikçi Tornavida Takımı 6 Parça,Torx Uçlu Tornavidalar,"719,94",https://www.nalburcuk.com/urun/ceta-form-torx-h99-04-06-elektronikci-tornavida-takimi-6-parca
65,CETA.H99-12-06,CETA FORM H99-12-06 Elektronikçi Tornavida Takımı Düz/Yıldız 6 Parça,Tornavida Takımları,"631,02",https://www.nalburcuk.com/urun/ceta-form-h99-12-06-elektronikci-tornavida-takimi-duz-yildiz-6-parca
66,CETA.H04-20-060,CETA FORM H04-20-060 Torx Uçlu Elektronikçi Tornavida T20x60 mm,Torx Uçlu Tornavidalar,"117,00",https://www.nalburcuk.com/urun/ceta-form-h04-20-060-torx-uclu-elektronikci-tornavida-t20x60-mm
67,CETA.H04-15-060,CETA FORM H04-15-060 Torx Uçlu Elektronikçi Tornavida T15x60 mm,Torx Uçlu Tornavidalar,"112,32",https://www.nalburcuk.com/urun/ceta-form-h04-15-060-torx-uclu-elektronikci-tornavida-t15x60-mm
68,CETA.H04-09-060,CETA FORM H04-09-060 Torx Uçlu Elektronikçi Tornavida T9x60 mm,Torx Uçlu Tornavidalar,"110,76",https://www.nalburcuk.com/urun/ceta-form-h04-09-060-torx-uclu-elektronikci-tornavida-t9x60-mm
69,CETA.H04-10-060,CETA FORM H04-10-060 Torx Uçlu Elektronikçi Tornavida T10x60 mm,Torx Uçlu Tornavidalar,"110,76",https://www.nalburcuk.com/urun/ceta-form-h04-10-060-torx-uclu-elektronikci-tornavida-t10x60-mm
70,CETA.H04-08-040,CETA FORM H04-08-040 Torx Uçlu Elektronikçi Tornavida T8x40 mm,Torx Uçlu Tornavidalar,"106,86",https://www.nalburcuk.com/urun/ceta-form-h04-08-040-torx-uclu-elektronikci-tornavida-t8x40-mm
71,CETA.H04-06-040,CETA FORM H04-06-040 Torx Uçlu Elektronikçi Tornavida T6x40 mm,Torx Uçlu Tornavidalar,"106,86",https://www.nalburcuk.com/urun/ceta-form-h04-06-040-torx-uclu-elektronikci-tornavida-t6x40-mm
72,CETA.H04-07-040,CETA FORM H04-07-040 Torx Uçlu Elektronikçi Tornavida T7x40 mm,Torx Uçlu Tornavidalar,"106,86",https://www.nalburcuk.com/urun/ceta-form-h04-07-040-torx-uclu-elektronikci-tornavida-t7x40-mm
73,CETA.H04-05-040,CETA FORM H04-05-040 Torx Uçlu Elektronikçi Tornavida T5x40 mm,Torx Uçlu Tornavidalar,"106,86",https://www.nalburcuk.com/urun/ceta-form-h04-05-040-torx-uclu-elektronikci-tornavida-t5x40-mm
74,CETA.H03-1-080,CETA FORM H03-1-080 Pozidriv Uçlu Elektronikçi Tornavida Pz1x80 mm,Yıldız Uçlu Tornavidalar,"113,88",https://www.nalburcuk.com/urun/ceta-form-h03-1-080-pozidriv-uclu-elektronikci-tornavida-pz1x80-mm
75,MAKITA.66360,Makita 66360 Sırt Çantası,Takım Çantaları,"1.634,16",https://www.nalburcuk.com/urun/makita-66360-sirt-cantasi
76,CETA.H03-0-060,CETA FORM H03-0-060 Pozidriv Uçlu Elektronikçi Tornavida Pz0x60 mm,Yıldız Uçlu Tornavidalar,"101,40",https://www.nalburcuk.com/urun/ceta-form-h03-0-060-pozidriv-uclu-elektronikci-tornavida-pz0x60-mm
77,CETA.H02-1-080,CETA FORM H02-1-080 Yıldız Uçlu Elektronikçi Tornavida Ph1x80 mm,Yıldız Uçlu Tornavidalar,"113,88",https://www.nalburcuk.com/urun/ceta-form-h02-1-080-yildiz-uclu-elektronikci-tornavida-ph1x80-mm
78,CETA.H02-0-060,CETA FORM H02-0-060 Yıldız Uçlu Elektronikçi Tornavida Ph0x60 mm,Yıldız Uçlu Tornavidalar,"101,40",https://www.nalburcuk.com/urun/ceta-form-h02-0-060-yildiz-uclu-elektronikci-tornavida-ph0x60-mm
79,CETA.H02-00-060,CETA FORM H02-00-060 Yıldız Uçlu Elektronikçi Tornavida Ph00x60 mm,Yıldız Uçlu Tornavidalar,"104,52",https://www.nalburcuk.com/urun/ceta-form-h02-00-060-yildiz-uclu-elektronikci-tornavida-ph00x60-mm
80,CETA.H01-40-150,CETA FORM H01-40-150 Düz Uçlu Elektronikçi Tornavida 4.0x150 mm,Düz Uçlu Tornavidalar,"138,84",https://www.nalburcuk.com/urun/ceta-form-h01-40-150-duz-uclu-elektronikci-tornavida-4-0x150-mm
