date,product-name,product-price,category,source
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETLI-CAM),1.9,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETLI-MEDIFLEKS),1.9,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETSIZ-CAM),1.6300000000000001,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI 500 ML (SETSIZ-MEDIFLEKS),1.6300000000000001,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI COZELTISI CAM 250 ML SETSIZ,0.89,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SETSIZ,0.89,İlaç,TİTCK
2026-05-01,%30 DEKSTROZ SUDAKI SOLUSYON 250 ML SOLUSYON(SETLI),1.04,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ   500 ML SOLUSYON,1.5,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ  PVC 50 ML(SETLI),1.04,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ  PVC 50 ML(SETSIZ),0.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ  SUDAKI COZELTISI 50 ML (SETLI),1.04,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL PVC 250 ML(SETLI)",1.44,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL PVC 250 ML(SETSIZ)",1.11,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL PVC 500 ML(SETLI)",1.74,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL PVC 500 ML(SETSIZ)",1.44,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL SISE 500 ML (SETSIZ)",1.37,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 NACL SISE 500 ML(SETLI)",1.66,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 SODYUM KLORUR COZELTISI 100 ML (MEDIFLEKS-SETLI)",1.04,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 SODYUM KLORUR COZELTISI 100 ML (MEDIFLEKS-SETSIZ)",0.84,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYON 500 ML SETLI SISE",1.57,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,2 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",1.27,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR %0,3 POTASYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",1.11,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR COZELTISI 250 ML (MEDIFLEKS-SETLI)",1.42,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR COZELTISI 250 ML (MEDIFLEKS-SETSIZ)",1.12,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON   500 ML SETLI",1.57,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYON 1000 ML SETLI",1.92,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETLI (CAM SISE)",1.92,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ (CAM SISE)",1.77,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 1000 ML SETSIZ SISE",1.77,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETLI (CAM SISE)",1.57,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ (CAM SISE)",1.27,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,45 SODYUM KLORUR SOLUSYONU 500 ML SETSIZ SISE",1.27,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON   500 ML SETLI",1.71,İlaç,TİTCK
2026-05-01,"%5 DEKSTROZ %0,9 SODYUM KLORUR BIOSEL SOLUSYON 1000 ML SETLI",1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL PVC 250 ML(SETLI),1.44,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL PVC 250 ML(SETSIZ),1.11,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL PVC 500 ML(SETLI),1.74,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL PVC 500 ML(SETSIZ),1.44,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL SISE 500 ML (SETSIZ),1.37,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %02 NACL SISE 500 ML(SETLI),1.66,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL PVC 1000 ML (SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL PVC 1000 ML (SETSIZ),1.83,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL PVC 500 ML (SETLI),1.78,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL PVC 500 ML (SETSIZ),1.45,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL SISE 500 ML (SETLI),1.68,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL SISE 500 ML (SETLI),1.68,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL SISE 500 ML (SETSIZ),1.3800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 NACL SISE 500 ML (SETSIZ),1.3800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 100 ML (MEDIFLEKS-SETLI),1.43,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 100 ML (MEDIFLEKS-SETSIZ),1.07,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETSIZ),1.83,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETLI),1.78,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %045 SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETSIZ),1.45,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL PVC   500 ML (SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL PVC   500 ML (SETSIZ),1.42,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL PVC 1000 ML (SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL PVC 1000 ML (SETSIZ),1.84,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE   500 ML (SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE   500 ML (SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE   500 ML (SETSIZ),1.42,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE   500 ML (SETSIZ),1.42,İlaç,TİTCK
