date,category,product,unit,monthly_qty,avg_unit_price_TRY,avg_monthly_cost_TRY,median_unit_price_TRY,median_monthly_cost_TRY,n_matched,matched_products
Apr 2026,Grains,Bread,Kg,18.0,147.68,2658.24,185.0,3330.0,13,Kula Ekşi Maya Ekmek 800 Gr; La Lorraine Domates Fesleğenli Baget Ekmek; La Lorraine Kare Ekmek Rustik; La Lorraine Kepekli Baget Ekmek 1/3; La Lorraine Sade Baget Ekmek 1/3; La Lorraine Zeytin Kekikli Bağet Ekmek; Uno Denge Tam Buğdaylı ve Çiya Tohumlu Ekmek …; Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr; Uno Premium Çavdar ve Kara Buğdaylı Ekmek 350…; Uno Premium Çok Tahıllı ve Siyez Buğdaylı Ekm…; Untad Kepekli Ekmek 500 Gr; Untad Light Kepekli Ekmek 500 Gr; Untad Premium 12 Tahıllı Ekmek 480 gr
Apr 2026,Fruits,Banana,Kg,16.7,142.4,2378.08,142.4,2378.08,2,Muz İthal - 500 Gr.; Muz Yerli - 500 Gr.
Apr 2026,Fruits,Seasonal Fruit,Kg,12.9,153.15,1975.64,137.4,1772.46,8,Çilek - 500 Gr.; Elma Golden - 500 Gr.; Elma Granny Smith - 500 Gr.; Elma Starking - 500 Gr.; Erik - 500 Gr.; Karpuz - 10 Kg.; Mandalina - 500 Gr.; Portakal Sıkmalık - 500 Gr.
Apr 2026,Vegetables,Onion,Kg,18.0,132.4,2383.2,132.4,2383.2,2,Soğan Kırmızı - 500 Gr.; Soğan Yahnilik - 500 Gr.
Apr 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,77.71,1795.1,45.9,1060.29,5,Kabak - 500 Gr.; Kabak Top - 500 Gr.; Patlıcan - 500 Gr.; Patlıcan Topan - 500 Gr.; Yayla Beyaz Kabak Nohut 1 Kg
Apr 2026,Vegetables,Other Vegetables,Kg,11.8,138.9,1639.02,138.9,1639.02,2,Fasulye Ayşe Kadın - 500 Gr.; Fasulye Çalı - 500 Gr.
Apr 2026,Oils,Olive Oil,Liter,1.1,418.31,460.14,414.9,456.39,24,Komili Ege Sızması Zeytinyağı 1 Lt; Komili Ege Sızması Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 1 Lt; Komili Riviera Zeytinyağı 2 Lt; Komili Riviera Zeytinyağı 3 Lt; Komili Sızma Zeytinyağı 1 Lt; Komili Sızma Zeytinyağı 2 Lt; Kristal Anadolu Mirası Natural Sızma Zeytinya…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Naturel Sızma Zeytinyağı…; Kristal Dolgun Güçlü Sızma Zeytinyağı Pet Şiş…; Kristal Natural Sızma Yumuşak Zeytinyağı Cam …; Kristal Naturel Sızma Ayvalık Zeytinyağı 500 …; Kristal Riviera Zeytinyağı 1 Lt; Kristal Riviera Zeytinyağı 2 Lt; Kristal Sızma Dolgun Güçlü Zeytinyağı Pet Şiş…; Poyraz Ege Natürel Sızma Zeytinyağı 3 Lt; Poyraz Riviera Zeytinyağı 1 Lt; Yudum Egemden Natural Sızma Zeytinyağı Yumuşa…; Yudum Egemden Riviera Zeytinyağı 1 Lt; Yudum Egemden Riviera Zeytinyağı 2 Lt; Yudum Egemden Riviera Zeytinyağı 500 Ml; Yudum Egemden Yumuşak Lezzet Sızma Zeytinyağı…; Yudum Egemden Zeytinyağı Yumuşak Lezzet 2 Lt
Apr 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
May 2026,Dairy Products,Yogurt,Kg,59.7,,,,,0,—
May 2026,Dairy Products,White Cheese,Kg,5.7,,,,,0,—
May 2026,Meat and Protein,Cubed Meat / Lamb Meat,Kg,4.6,,,,,0,—
May 2026,Meat and Protein,Chicken,Kg,10.3,369.88,3809.76,299.9,3088.97,6,Akdeniz Toros Bütün Piliç (Donuk Olarak Satıl…; Akdeniz Toros Gezen Tavuk Bütün (Donuk Olarak…; Akdeniz Toros Piliç Baget (Donuk Olarak Satıl…; Akdeniz Toros Piliç But (Donuk Olarak Satılır…; Akdeniz Toros Piliç Kanat (Donuk Olarak Satıl…; Akdeniz Toros Piliç Nuggut 500 Gr
May 2026,Meat and Protein,Fish,Kg,6.9,,,,,0,—
May 2026,Meat and Protein,Eggs,Piece,120.0,,,,,0,—
May 2026,Legumes,Chickpeas,Kg,1.8,74.9,134.82,74.9,134.82,1,Ala Çiftçi Koçbaşı Nohut 1 kg
May 2026,Nuts and Seeds,Walnut / Hazelnut / Peanut,Kg,2.7,,,,,0,—
May 2026,Grains,Bread,Kg,18.0,,,,,0,—
May 2026,Fruits,Banana,Kg,16.7,,,,,0,—
May 2026,Fruits,Seasonal Fruit,Kg,12.9,132.4,1707.96,132.4,1707.96,2,Elma Golden - 500 Gr.; Elma Starking - 500 Gr.
May 2026,Vegetables,Onion,Kg,18.0,,,,,0,—
May 2026,Vegetables,Eggplant / Zucchini,Kg,23.1,65.23,1506.81,75.9,1753.29,3,Kabak - 500 Gr.; Kabak Girit - 500 Gr.; Kabak Top - 500 Gr.
May 2026,Vegetables,Other Vegetables,Kg,11.8,138.9,1639.02,138.9,1639.02,2,Fasulye Ayşe Kadın - 500 Gr.; Fasulye Çalı - 500 Gr.
May 2026,Oils,Olive Oil,Liter,1.1,,,,,0,—
May 2026,Other Food Products,Grissini,Kg,2.1,,,,,0,—
