item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Penguen Lütenitsa Balkan Sosu 300 Gr,174.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Kemal Kükrer Soya Sosu 375 Ml,220.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
"Öncü Domates Ve Biber Karışık Salça 1,6 Kg",462.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,15.193026151930262
Hatap Un Tip 1 2 Kg,159.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,-3.91566265060241,-3.91566265060241
Superfresh Ton Balığı Light 3 X 75 Gr,277.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Bal Bademli Puding 85 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Pakmaya Çikolatalı Portakallı Puding 116 Gr,53.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Olca Domates Salçası Cam 720 Gr,111.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,
Marmarabirlik Sızma Zeytinyağı Cam 1 Lt,518.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Marmarabirlik Sızma Zeytinyağı Pet 1 Lt,482.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Biberiye Turşusu 300 Gr,128.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Kornişon Turşusu 670 Gr,188.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Acı Kornişon Turşusu 330 Gr,136.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Kornişon Turşusu 330 Gr,136.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Garnitür 5000 Gr,521.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Bezelye Teneke 5000 Gr,521.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Heinz Light Mayonez 420 Gr,221.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,22.099447513812155
Heinz Sarımsaklı Mayonez 400 Gr,266.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tavuk Harcı 90 Gr,46.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Yudum Riviera Zeytinyağı 2 Lt,784.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,,
Itır Baharat Izgara Harcı 90 Gr,56.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Mısır 2650 Gr,453.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Közlenmiş Patlıcan 520 Gr,174.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,4.191616766467066
Penguen Közlenmiş Biber Cam Kavanoz 680 Gr,254.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,31.52454780361757
Penguen Garnitür Cam Kavanoz 540 Gr,93.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Penguen Bezelye Cam Kavanoz 680 Gr,111.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,6.190476190476191
Heinz Barbekü Sos 465 Gr,218.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Heinz Ketçap Acılı 460 Gr,163.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,,
Veronelli Tagliatelle Makarna 500 Gr,203.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.105263157894736
Veronelli Lazanya 500 Gr,203.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.105263157894736
Veronelli Yassı Spagetti 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Veronelli Spagetti 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Veronelli Burgu Makarna 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Veronelli Penne Makarna 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Veronelli Arpa Şehriye 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
Veronelli Fırın Makarna 500 Gr,52.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,7.216494845360824
