Category,Name,Price,Original Price,Discount
Kadin Giyim,Kadın Haki Etnik Desenli Relax Fit Beli Lastikli Pantolon,2999,2999,
Kadin Giyim,Kadın Kahverengi Desenli Gipeli Balon Kol Bluz,1999,2299,%13
Kadin Giyim,Kadın Siyah Beli Lastikli Mini Balon Etek,1399,1799,%22
Kadin Giyim,Kadın Ekru Oversize Asimetrik Kesim Bağlama Detaylı Kısa Kollu Sweatshirt,1799,1799,
Kadin Giyim,Kadın Kırık Beyaz Yaka Detaylı Bisiklet Yaka Atlet,759.99,759.99,
Kadin Giyim,Kadın Siyah Fitted Kolsuz Mini Elbise,1399,1399,
Kadin Giyim,Kadın Beyaz Fitted Halter Yaka Atlet,659.99,659.99,
Kadin Giyim,Kadın Kırık Beyaz Fitted Fırfırlı Dik Yaka Kısa Kollu Bluz,799.99,999.99,%20
Kadin Giyim,Kadın Siyah Düşük Omuz Açık Yaka Atlet,799.99,799.99,
Kadin Giyim,Kadın Ekru Beli Bağlamalı Kısa Şort,1399,1399,
Kadin Giyim,Kadın Ekru Modal Karışımlı Bisiklet Yaka Sweatshirt,2199,2199,
Kadin Giyim,Kadın İndigo Kruvaze Jean Şort Etek,2199,2199,
Kadin Giyim,Kadın Kırmızı Oversize Baskılı Bisiklet Yaka Sweatshirt,1199,1199,
Kadin Giyim,Kadın Siyah Desenli Çift Fermuarlı Kapüşonlu Uzun Yağmurluk,3999,3999,
Kadin Giyim,Kadın Kırmızı Desenli Oversize Bisiklet Yaka Sweatshirt,1599,1599,
Kadin Giyim,Kadın Siyah Dikiş Detaylı Düz Kesim Kısa Kollu Midi Elbise,2299,2299,
Kadin Giyim,Kadın Kahverengi A Form Bağlama Detaylı Modal Midi Elbise,3599,3599,
Kadin Giyim,Kadın Bej Rengi Liyosel Karışımlı Beli Bağlamalı Mini Gömlek Elbise,3999,3999,
Kadin Giyim,Kadın Siyah Beli Lastikli Kloş Midi Etek,2399,2399,
Kadin Giyim,Kadın Koyu İndigo A Form Dikiş Detaylı Midi Jean Elbise,3599,3599,
Kadin Giyim,Kadın Lacivert A Form Kolsuz Keten Mini Elbise,2999,2999,
Kadin Giyim,Kadın Beyaz Uzun Kollu Keten Gömlek,2599,2599,
Kadin Giyim,Kadın Mürdüm V Yaka Kloş Mini Elbise,1999,2999,%33
