product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Artistic Bloom Dekoratif Kırlent 40 cm Yeşil,639.99,05,0.0,0.0,,
"Artistic Bloom Dekoratif Kırlent 40,0x1,3x55,0 cm Bej",639.99,05,0.0,0.0,0.0,
"Artistic Bloom Dekoratif Kırlent 40,0x15,5 cm Hardal",719.99,05,0.0,0.0,28.571938784621153,
"Artistic Bloom Dekoratif Kırlent 40,0x30,5x1,5 cm Kiremit",4999.99,05,0.0,0.0,0.0,
Artistic Flower Emaye Katlı Servis 21x29 cm Renkli,759.99,05,0.0,0.0,-84.00017684247757,
Artistic Leafy Pamuklu Brodeli Yüz Havlusu 50x80 cm Ekru-Sarı,1999.99,05,0.0,0.0,0.0,
Arya Metal Dekoratif Obje 33 cm Gold,719.99,05,0.0,0.0,-84.0001866670815,
Arzu Sabancı Bounce Stoneware Kupa 350 ML Mavi-Lacivert,239.99,05,0.0,0.0,-84.00056000373336,
Arzu Sabancı Calle Cam El Yapımı Bardak 250 ml Mavi,209.99,05,0.0,0.0,-12.500520855035626,
Arzu Sabancı Calle Cam El Yapımı Kadeh Mavi,269.99,05,0.0,0.0,-15.625488296509266,
Arzu Sabancı Splash 2li Misafir Peçetesi Krem-Turuncu,2749.99,05,0.0,0.0,0.0,
Arzu Sabancı Torcello Cam El Yapımı Bardak 440 ml Beyaz,239.99,05,0.0,0.0,-84.00056000373336,
Arzu Sabancı Torcello Cam El Yapımı Bardak 440 ml Koyu Mavi,1499.99,05,0.0,0.0,0.0,
Arzu Sabancı Torcello Cam El Yapımı Bardak 440 ml Mavi,1499.99,05,0.0,0.0,0.0,
Ashara Koltuk Şalı 170x210 cm Multicolor,3499.99,05,0.0,0.0,0.0,
"Ashle Banyo Sıvı Sabunluk 14,5 cm Beyaz",300.99,05,0.0,0.0,0.0,
