item_name,price,category,date,tuik_category,per_item_inflation_2026-05-23
Leggy Pamuklu Bornoz S-M Beyaz,8999.99,Banyo,2026-05-24,05,0.0
Linda Pamuklu Nakışlı Banyo Havlusu 90x150 cm Beyaz,3499.99,Banyo,2026-05-24,05,0.0
Linelike Pamuklu Çizgili Plaj Havlusu 90x150 cm Ekru-Yeşil-Sarı,3024.91,Banyo,2026-05-24,05,0.0
Lines Pamuk Bornoz Gül Kurusu,1039.99,Banyo,2026-05-24,05,0.0
Lines Pamuk Bornoz Ortanca Lila,6499.99,Banyo,2026-05-24,05,0.0
Lines Pamuk Yüz Havlusu 50x70 cm Gül Kurusu,999.99,Banyo,2026-05-24,05,0.0
Lines Pamuk Yüz Havlusu 50x70 cm Ortanca Lila,999.99,Banyo,2026-05-24,05,0.0
Liny Pamuklu Çizgili Plaj Havlusu 90x150 cm Ekru-Mavi-Turuncu,3024.91,Banyo,2026-05-24,05,0.0
Lisa Pamuklu Nakışlı Banyo Havlusu 90x150 cm Beyaz,559.99,Banyo,2026-05-24,05,0.0
Macaroni Kaydırmaz Taban Banyo Paspası 50x80 cm Yeşil,539.99,Banyo,2026-05-24,05,0.0
Macaroni Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Bej,959.99,Banyo,2026-05-24,05,0.0
Macaroni Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Mavi,639.99,Banyo,2026-05-24,05,0.0
Macaroni Kaydırmaz Taban Banyo Paspası Seti 60x90 + 40x60 cm Yeşil,779.99,Banyo,2026-05-24,05,0.0
Marble 3lü Banyo Seti Beyaz,839.99,Banyo,2026-05-24,05,0.0
Mayra Rejenere Peştemal Bornoz Standart Turuncu-Sarı,479.99,Banyo,2026-05-24,05,0.0
Mayra Rejenere Çizgili Peştamal 90x150 cm Fuşya-Mavi,239.99,Banyo,2026-05-24,05,0.0
Mayra Çizgili Peştamal 90x150 cm Turuncu-Sarı,999.99,Banyo,2026-05-24,05,0.0
Melange Pamuk Banyo Havlusu 80x150 cm Bej Melanj,559.99,Banyo,2026-05-24,05,0.0
Melange Pamuk El Havlusu 30x45 cm Bej Melanj,183.99,Banyo,2026-05-24,05,0.0
Melange Pamuk Yüz Havlusu 50x80 cm Bej Melanj,1499.99,Banyo,2026-05-24,05,0.0
Melinda Bambu Ayak Havlusu 50x70 cm Beyaz,1499.99,Banyo,2026-05-24,05,0.0
Melinda Bambu Yüz Havlusu 50x90 cm Beyaz,1499.99,Banyo,2026-05-24,05,0.0
Mini Daisy Pamuk Nakışlı Yüz Havlusu 50x80 cm Ekru,1999.99,Banyo,2026-05-24,05,0.0
Modern Line Pamuklu Peştemal 90x150 cm Açık Bej-Kiremit,2299.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Ayak Havlusu 50x70 cm Beyaz - Bej,1999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Ayak Havlusu 50x70 cm Beyaz - Gri,1999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Ayak Havlusu 50x70 cm Beyaz - Mavi,1999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Ayak Havlusu 50x70 cm Beyaz - Pembe,1999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Ayak Havlusu 50x70 cm Beyaz - Yeşil,1999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Bornoz Beyaz - Bej,1399.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Bornoz Beyaz - Gri,9999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Bornoz Beyaz - Mavi,9999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Bornoz Beyaz - Pembe,9999.99,Banyo,2026-05-24,05,0.0
Mono Stripe Pamuk Bornoz Beyaz - Yeşil,9999.99,Banyo,2026-05-24,05,0.0
Moonstar Pamuklu Nakışlı Yüz Havlusu 50x80 cm Ekru,479.99,Banyo,2026-05-24,05,0.0
Morning Daisy Pamuk Yüz Havlusu 50x80 cm Pudra,1999.99,Banyo,2026-05-24,05,0.0
Myla Cam Banyo Sıvı Sabunluk Amber,1749.99,Banyo,2026-05-24,05,0.0
Myla Cam Banyo Sıvı Sabunluk Şeffaf,1999.99,Banyo,2026-05-24,05,0.0
Natural Pamuk Banyo Havlusu Bej,2499.99,Banyo,2026-05-24,05,0.0
Natural Stripe Pamuklu Banyo Havlusu 90x150 cm Beyaz,3499.99,Banyo,2026-05-24,05,0.0
Natural Stripe Pamuklu Yüz Havlusu 50x90 cm Beyaz,1999.99,Banyo,2026-05-24,05,0.0
Nevana Cam Banyo Sıvı Sabunluk Amber,1749.99,Banyo,2026-05-24,05,0.0
Ocean Pamuklu Plaj Havlusu 70x140 cm Mavi,539.99,Banyo,2026-05-24,05,0.0
Ornate Stripe Pamuklu İpliği Boyalı Yüz Havlusu 50x80 cm Ekru - Pembe,1999.99,Banyo,2026-05-24,05,0.0
Paige Makarna Banyo Paspası Kahve,399.99,Banyo,2026-05-24,05,0.0
Paige Makarna Banyo Paspası Mavi,2499.99,Banyo,2026-05-24,05,0.0
Paige Makarna Banyo Paspası Yeşil,2249.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Ayak Havlusu 50x85 cm Mor,1499.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Ayak Havlusu 50x85 cm Sage,1499.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Ayak Havlusu 50x85 cm Sisli Kahve,1499.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Banyo Havlusu 90x150 cm Mor,447.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Banyo Havlusu 90x150 cm Sage,494.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Banyo Havlusu 90x150 cm Sisli Kahve,2999.99,Banyo,2026-05-24,05,0.0
Panera Pamuk El Havlusu 30x45 cm Mor,1049.99,Banyo,2026-05-24,05,0.0
Panera Pamuk El Havlusu 30x45 cm Sage,1049.99,Banyo,2026-05-24,05,0.0
Panera Pamuk El Havlusu 30x45 cm Sisli Kahve,1049.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Yüz Havlusu 50x85 cm Mor,1399.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Yüz Havlusu 50x85 cm Sage,1399.99,Banyo,2026-05-24,05,0.0
Panera Pamuk Yüz Havlusu 50x85 cm Sisli Kahve,1399.99,Banyo,2026-05-24,05,0.0
Panthera Pamuk Yüz Havlusu 50x80 cm Ekru,1999.99,Banyo,2026-05-24,05,0.0
Pavia Cam Banyo Sıvı Sabunluk Amber,1749.99,Banyo,2026-05-24,05,0.0
Pearl Pamuklu Simli El Havlusu 30x45 cm Ekru,999.99,Banyo,2026-05-24,05,0.0
Petite Checked Pamuklu Kroşeli Yüz Havlusu 50x80 cm Ekru - Lila,1499.99,Banyo,2026-05-24,05,0.0
Petite Dot Pamuk Püsküllü Yüz Havlusu 50x80 cm Pembe - Yeşil,2249.99,Banyo,2026-05-24,05,0.0
Petite Dot Pamuk Püsküllü Yüz Havlusu 50x80 cm Yeşil-Mavi,1999.99,Banyo,2026-05-24,05,0.0
Plain Pamuklu Saç Bonesi Standart Koyu Gri,999.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu Banyo Havlusu 70x140 cm Ekru,479.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu El Havlusu 30x45 cm Ekru,999.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu El Havlusu 30x45 cm Pembe,999.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu El Havlusu 30x45 cm Su Yeşili,999.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu El Havlusu Bej,999.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu Yüz Havlusu 50x80 cm Ekru,271.99,Banyo,2026-05-24,05,0.0
Poffy Soft-Premium Pamuklu Yüz Havlusu 50x80 cm Su Yeşili,1499.99,Banyo,2026-05-24,05,0.0
Polina Cam Banyo Sıvı Sabunluk Amber,1149.99,Banyo,2026-05-24,05,0.0
Porte Pamuklu Peştemal 90x150 cm Açık Bej,1999.99,Banyo,2026-05-24,05,0.0
Punto Pamuk Banyo Havlusu 80x150 cm Yeşil-Beyaz,559.99,Banyo,2026-05-24,05,0.0
Punto Pamuk El Havlusu 30x45 cm Yeşil-Beyaz,1299.99,Banyo,2026-05-24,05,0.0
Punto Pamuk Yüz Havlusu 50x80 cm Pembe - Yeşil,1999.99,Banyo,2026-05-24,05,0.0
Punto Pamuk Yüz Havlusu 50x80 cm Yeşil-Beyaz,2249.99,Banyo,2026-05-24,05,0.0
Pure Basic Pamuk Banyo Havlusu 100x150 cm Açık Pembe,639.99,Banyo,2026-05-24,05,0.0
Pure Basic Pamuk El Havlusu 30x30 cm Beyaz,999.99,Banyo,2026-05-24,05,0.0
Pure Basic Pamuk El Havlusu 30x30 cm Koyu Mavi,1499.95,Banyo,2026-05-24,05,0.0
Pure Basic Pamuk Yüz Havlusu 50x90 cm Bej,1299.99,Banyo,2026-05-24,05,0.0
Pure Basic Pamuklu Banyo Havlusu 70x140 cm Açık Pembe,479.99,Banyo,2026-05-24,05,0.0
Pure Basic Pamuklu Banyo Havlusu Bej,479.99,Banyo,2026-05-24,05,0.0
