District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Mezitli / Davultepe,3+1,24741.379310344826,04,-63.9688650820221,-61.69076751946607,,-18.019218937684943
Mezitli / Davultepe,4+1,30000.0,04,-14.285714285714285,-14.285714285714285,,
Mezitli / Fındıkpınarı,2+1,15000.0,04,0.0,0.0,,
Mezitli / Kuyuluk,1+1,18250.0,04,0.20720020720020796,0.7289768289507967,,-1.398104265402842
Mezitli / Kuyuluk,1.5+1,25000.0,04,0.0,0.0,,0.0
Mezitli / Kuyuluk,2+1,24345.744680851065,04,-1.2565560488239786,1.698984402943823,,0.4214750680002378
Mezitli / Kuyuluk,3+1,26066.666666666668,04,-49.02216427640156,-47.56704980842912,,-60.01704303366
Mezitli / Kuyuluk,4+1,35000.0,04,-79.28994082840237,-81.02409638554217,,-68.48424212106053
Mezitli / Köyler,1+1,23000.0,04,-4.166666666666666,2.2222222222222223,,15.191986644407338
Mezitli / Köyler,2+1,18000.0,04,5.88235294117647,6.930693069306939,,15.2
Mezitli / Köyler,3+1,17750.0,04,0.0,7.575757575757576,,0.8522727272727272
Mezitli / Tece,1+1,17418.60465116279,04,-0.4651162790697708,-2.7044581160806116,,0.8382350584200168
Mezitli / Tece,2+0,18000.0,04,0.0,0.0,,0.0
Mezitli / Tece,2+1,21400.0,04,0.0,0.0,,-10.833333333333334
Mezitli / Tece,3+1,30000.0,04,0.0,0.0,,14.285714285714285
Mezitli / Tece,4+1,35000.0,04,0.0,0.0,,
Mut,1+1,13900.0,04,-6.815642458100554,-16.18090452261306,,-22.77777777777778
Mut,2+1,18500.0,04,0.0,-5.128205128205128,,2.7777777777777777
Mut,3+1,19000.0,04,1.0638297872340425,-1.440922190201727,,-13.636363636363635
Mut,4+1,12000.0,04,0.0,0.0,,
Silifke / Atakent,1+1,14583.333333333334,04,-62.05080545229244,-65.41501976284584,,-1.1299435028248546
Silifke / Atakent,2+1,20529.41176470588,04,-42.72072811369316,-69.30454631122652,,-69.22271368139667
Silifke / Atakent,3+1,12250.0,04,-93.68963296844817,-93.79354021532616,,-61.111111111111114
Silifke / Atayurt,2+1,25000.0,04,0.0,0.0,,0.0
Silifke / Atayurt,3+1,16866.666666666668,04,0.0,0.0,,7.659574468085119
Silifke / Gazi,1+1,13300.0,04,-7.745664739884389,-2.385321100917431,,-5.422222222222222
Silifke / Gazi,2+1,16636.363636363636,04,1.855287569573278,-1.1157252213939017,,4.521656354117089
Silifke / Gazi,2.5+1,20000.0,04,0.0,0.0,,
Silifke / Gazi,3+1,20440.0,04,0.0,-3.528023598820059,,0.9005235602094313
Silifke / Gazi,4+1,29333.333333333332,04,7.3170731707317085,12.204007285974502,,16.336166194523134
Silifke / Köyler,1+1,18500.0,04,0.0,0.0,,2.7777777777777777
Silifke / Köyler,2+1,15000.0,04,-61.92893401015228,-67.9144385026738,,-63.41463414634146
Silifke / Köyler,3+1,30000.0,04,-50.0,-50.0,,-88.0794701986755
Silifke / Saray,2+1,16472.222222222223,04,11.43998120742307,11.43998120742307,,9.208103130755063
Silifke / Saray,2.5+1,19000.0,04,0.0,0.0,,
Silifke / Saray,3+1,17656.25,04,-1.3961605584642234,-2.4901380670611526,,1.7232510288065752
Silifke / Saray,4+1,20333.333333333332,04,-11.59420289855073,-18.66666666666667,,35.55555555555554
Silifke / Saray,5+1,24000.0,04,0.0,0.0,,-4.0
Silifke / Taşucu,1+1,14125.0,04,0.09842519685039226,-9.744408945686901,,8.653846153846153
