City,District,Rooms,Price
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,19500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,21000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,30000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,24000.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,20000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,27500.0
Ankara_Altindag,AltındağHacettepe Mah.,3+1,29000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,Stüdyo (1+0),32000.0
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,42000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,27000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,3+1,33000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,23000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,20000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,31000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,3+1,26000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,18500.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,31000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,3+1,37000.0
Ankara_Altindag,AltındağÖrnek Mh.,3+1,23000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,3+1,26000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,25000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,25000.0
Ankara_Altindag,AltındağGültepe Mh.,2+1,18250.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,23000.0
Ankara_Altindag,AltındağÖrnek Mh.,2+1,16000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,29000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,25000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,18000.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,19000.0
