category,product_name,price_tl,unit,date
Süt Kahvaltılık,Ekici Tam Yağlı Beyaz Peynir 800 gr,289.95,Kg,2026-03-15
Süt Kahvaltılık,Aytaç Isıl İşlem Görmüş Sucuk 280 gr,289.95,Kg,2026-03-15
Süt Kahvaltılık,Aytaç İkili Fırsat Paketi 380 gr,119.95,Kg,2026-03-15
Süt Kahvaltılık,Aytaç Piliç Çiftlik Kokteyl Sosis 400 gr,89.95,Kg,2026-03-15
Süt Kahvaltılık,Aytaç Piliç Çiftlik Salam 500 gr,85.95,Kg,2026-03-15
Süt Kahvaltılık,Erpiliç Piliç Büfe Salam 750 gr,109.95,Kg,2026-03-15
Süt Kahvaltılık,Erpiliç Piliç Mini Sosis 700 gr,139.95,Kg,2026-03-15
Süt Kahvaltılık,Erzincan Deri Tulumu kg,899.95,Kg,2026-03-15
Süt Kahvaltılık,Erzincan Tulum Peyniri kg,799.95,Kg,2026-03-15
Süt Kahvaltılık,Acuka Keyfi 200 gr,49.95,Kg,2026-03-15
Süt Kahvaltılık,Eski Kaşar Peyniri kg,499.95,Kg,2026-03-15
Süt Kahvaltılık,Bahçıvan Peynir Lezzet Topları 200 gr,165.95,Kg,2026-03-15
Süt Kahvaltılık,Balparmak Çıt Kapak Süzme Çiçek Balı 600 gr,399.95,Kg,2026-03-15
Süt Kahvaltılık,Balparmak Süzme Çiçek Balı 225 gr,239.95,Kg,2026-03-15
Süt Kahvaltılık,Balparmak Süzme Çiçek Balı 460 gr,459.95,Kg,2026-03-15
Süt Kahvaltılık,Balparmak Süzme Çiçek Balı 850 gr,719.95,Kg,2026-03-15
Süt Kahvaltılık,Balparmak Süzme Yayla&Ova Balı 850 gr,599.95,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Granola Kuruyemişli 200 gr,129.95,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Granola Vişne Kakao Fındık 200 gr,129.95,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif İnce Çeşnili Müsli 250 gr,147.5,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif İnce Yulaf Ezmesi 350 gr,87.5,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Meyveli Fındıklı Müsli 350 gr,116.0,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Puffed Granola Kakao 160 gr,142.0,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Yer Fıstıklı ve Hurmalı Müsli 350 gr,116.0,Kg,2026-03-15
Süt Kahvaltılık,Eti Lifalif Yulaf Ezmesi 500 gr,87.5,Kg,2026-03-15
