ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%15KG AÇIK FINDIK GÜRSOY KAKAOLU KREMASI,0.0,0.0,0.0
%18 200ML CARREFOUR KREMA YAĞLI,-0.0,0.0,-1.1102230246251565e-14
%18 200ML DANONE KREMA TIKVEŞLI YAĞLI,0.0,0.0,0.0
%18 200ML KREMA PINAR YAĞLI,0.0,0.0,0.0
%18 200ML KREMA SÜTAŞ YAĞLI,0.0,0.0,0.0
%18 200ML KREMA TIKVEŞLI YAĞLI,0.19,-7.126985722903701,7.881461422550284
%18 200ML KREMA TIKVEŞLI YAĞLI YEMEKLIK,0.0,0.0,0.0
%18 200ML KREMA YAĞLI İÇIM ŞEF,-0.62,7.573289902280211,-7.613695918010888
%18 KREMA TK YAĞLI,0.0,0.0,0.0
%18 KREMA YAĞLI İÇİM,0.0,0.0,0.0
%2 (1/5) 200ML 5 SÜT SÜTAS YAĞLI,0.0,0.0,0.0
%2 1L 5 SÜT SÜTAŞ UHT YAĞLI,0.0,0.0,0.0
%2 1LT 5 PINAR SÜT YAĞLI,0.0,0.0,0.0
%2 1LT 5 SÜT SÜTAŞ UHT YAĞLI,-0.0,-1.1102230246251565e-14,0.0
%2 5 6X180ML SÜT SÜTAŞ YAĞLI,0.0,0.0,0.0
%2.5 1 L SÜT SÜTAŞ YAĞLI,0.0,0.0,0.0
%2.5 1L PINAR SÜT YAĞLI,0.0,0.0,0.0
%2.5 1LT PINAR SÜT YAĞLI,8.91,1.0557184750733528,7.771329077190869
%20 %80 1000G MANDA SÜTÜ YOĞURT YÖRÜKSÜT İNEK,11.29,0.0,11.285682673157794
%20 %80 KAYMAĞIKG MANDA VELIOĞLU İNEK,0.0,0.0,0.0
%20 (%14 DANA KIYMA YAĞ)KG,3.95,0.7457121551081691,3.17847346192357
%20 12'LI 120G BED. BULYON ET KNORR,0.0,0.0,0.0
%20 130G DAHA FAZLA ORIGINALS RUFFLES,0.0,0.0,0.0
%20 180G BEDAVA EKONOMIK GOLD NESCAFE,0.0,0.0,0.0
%20 200ML BITKISEL KREMA MASTERINI YAĞ,0.0,0.0,0.0
%20 200ML BITKISEL KREMA MIS YAĞLI YAĞLI,-0.0,-1.1102230246251565e-14,0.0
%20 200ML BITKISEL KREMA SANA,0.0,0.0,0.0
%20 450G BEDAVA GEVREĞI MISIR NESQUIK NESTLE,0.0,0.0,0.0
%20 480G BADEM BAL GEVREK KAHVALTILIK NESFIT NESTLE PROMO,12.07,0.0,12.068965517241415
%20 480G GEVREK KAHVALTILIK KARIŞIK MEYVELI NESFIT NESTLE PROMO,12.07,0.0,12.068965517241415
%20 480G GEVREK KAHVALTILIK KIRMIZI MEYVELI NESFIT NESTLE PROMO,0.0,0.0,0.0
%20 480G GEVREK KAHVALTILIK NESFIT NESTLE PROMO ÇIKOLATALI,0.0,0.0,0.0
%20 504G GEVREK KAHVALTILIK NESFIT NESTLE PROMO SADE,12.07,0.0,12.068965517241391
%20 80G BADEMLI BITTER BÜTÜN KARMEN ÇIKOLATA,3.4,3.396851698425851,0.0
%20 80G BADEMLI BÜTÜN KARMEN SÜTLÜ ÇIKOLATA,3.4,3.396851698425851,0.0
%20 DANA KIYMA MAP TA... TK YAĞLI,0.0,0.0,0.0
%20 FINDIK KAKAOLU KREMASI TMO,0.0,0.0,0.0
%25 30G ALA ANTEP DAMAK FISTIKLI GOFRET NESTLE,0.0,0.0,0.0
%25 30G ALA ANTEPFISTIKLI DAMAK NESTLE,1.06,1.0579937304075138,0.0
%25 30GR A.FISTIKLI ALA BEYAZ CIK. DAMAK NESTLE,1.06,1.0579937304075138,0.0
%25 30GR ANTEP DAMAK FISTIKLI NESTLE,0.0,0.0,0.0
%25 625G BEDAVA COFFEE MATE NESTLE,-3.53,-8.487347463070005,5.418236150410438
%27 28G ANTEP ETI FISTIKLI KARAM,0.0,-11.03448275862069,12.4031007751938
%27 28GR ANTEP BITTER BOL ETI FISTIKLI ÇIK.IÇI,0.0,0.0,0.0
%27 30G BATON BÜTÜN ETI FINDIKLI ÇIKOLATA,5.3,-6.253467543790103,12.324266872795775
%27 30GR BOL ETI FINDIKLI ÇIK.IÇI,0.0,0.0,0.0
%3 1 5 L SÜT SÜTAŞ TAM YAĞLI,-8.71,0.0,-8.709677419354822
%3 1 L SÜT TAM YAĞLI İÇIM,0.0,0.0,0.0
%3 1 L SÜT TEKSÜT YAĞLI,0.0,0.0,0.0
%3 1750G KEBIR KOVA YAĞLI YOĞURT,0.0,0.0,0.0
%3 1L 5 LEZZET SÜT UHT YAĞLI İÇIM,0.0,0.0,2.220446049250313e-14
%3 1LT 5 SÜT SÜTAŞ YAĞLI,0.0,0.0,0.0
%3 200ML 5 SÜT SÜTAŞ TAM UHT YAĞLI,0.0,0.0,0.0
%3 200ML SÜT YAĞLI İÇIM,0.0,0.0,0.0
%3... KEBİR KOVA KÖY TİPİ YOĞURT,0.0,0.0,0.0
%3.1 1 L MIS SÜT UHT YAĞLI,0.0,0.0,0.0
%3.1 200ML MIS SÜT UHT YAĞLI,0.0,0.0,0.0
%3.1 500ML MIS SÜT UHT YAĞLI,-0.0,-2.220446049250313e-14,0.0
%3.3 1L PINAR SÜT UHT YAĞLI,3.08,0.0,3.077537969624289
%3.3 500ML SÜT TORKU YAĞLI,0.0,0.0,0.0
%30 13G AZALTILMIŞ BOL ETI PETITO SÜTLÜ ÇIKOLATA ŞEKERI,0.0,0.0,0.0
%30 2'LI BEZI CAM MIKROFIBER VILEDA,0.0,0.0,0.0
%30 3 BEZI LU MIKROFIBER TEMIZLIK VILEDA,0.0,0.0,0.0
%30 3 BEZI LÜ MIKROFIBER PAREX TEMIZLIK,8.0,4.266666666666685,3.5805626598465423
%30 3 BEZI LÜ MIKROFIBER TEMIZLIK VILEDA,0.0,2.220446049250313e-14,0.0
%30 3'LÜ BEZI MIKROFIBERLI TEMIZLIK VILEDA,0.0,0.0,0.0
%30 3/5 500GR BALIKYE BANDO FILETO GLZ USKUMRU,0.0,0.0,0.0
