Price,Location,Rooms
55.000 TL,Aksu,3+1
15.000 TL,Kemer,3+1
30.000 TL,Serik,4+1
70.000 TL,Serik/Belek,6+1
85.000 TL,Serik/Belek,5+1
60.000 TL,Alanya,3+1
40.000 TL,Serik,2+1
300.000 TL,Muratpaşa/Lara,5+1
125.000 TL,Konyaaltı/Arapsuyu,7+1
60.000 TL,Serik/Belek,4+1
130.000 TL,Aksu,4+1
115.000 TL,Konyaaltı/Arapsuyu,3+2
45.000 TL,Serik,5+1
40.000 TL,Kemer,6+1
40.000 TL,Serik,4+1
6.000 TL,Serik,3+1
55.000 TL,Serik,4+1
25.000 TL,Serik,3+1
37.500 TL,Kepez/Varsak,6+1
35.000 TL,Manavgat/Çolaklı,2+1
65.000 TL,Alanya,3+1
5.000 TL,Demre/Köyler,1+1
40.000 TL,Kemer/Köyler,2+1
75.000 TL,Döşemealtı/Merkez,5+1
70.000 TL,Muratpaşa/Lara,6+3
48.000 TL,Serik/Belek,4+1
95.000 TL,Demre/Kale(Demre),3+0
105.000 TL,Serik,5+1
90.000 TL,Aksu/Köyler,4+1
140.000 TL,Döşemealtı/Yeşilbayır,5+1
45.000 TL,Kemer/Göynük,4+1
60.000 TL,Serik,3+1
60.000 TL,Serik,3+1
110.000 TL,Manavgat/Taşağıl,5+1
10.000 TL,Kaş/Kalkan,2+1
65.000 TL,Döşemealtı/Yeşilbayır,5+1
65.000 TL,Kepez/Köyler,4+1
74.500 TL,Aksu,3+1
33.500 TL,Manavgat,3+1
30.000 TL,Gazipaşa,2+1
215.000 TL,Muratpaşa/Lara,4+1
175.000 TL,Alanya,4+1
60.000 TL,Aksu,2+1
160.000 TL,Döşemealtı/Yeşilbayır,4+1
30.000 TL,Kemer,2+1
25.000 TL,Aksu/Köyler,2+1
35.000 TL,Kemer,4+1
90.000 TL,Serik/Belek,4+1
73.500 TL,Kepez/Köyler,4+1
35.000 TL,Serik,2+1
52.000 TL,Alanya,3+1
60.000 TL,Serik/Belek,5+1
80.000 TL,Döşemealtı/Yeşilbayır,3+1
50.000 TL,Serik,4+1
70.000 TL,Serik,3+1
5.000 TL,Alanya/İncekum (Yeşilköy),3+1
90.000 TL,Konyaaltı/Arapsuyu,3+1
95.000 TL,Aksu/Köyler,6+1
65.000 TL,Aksu,5+1
30.000 TL,Aksu/Köyler,3+1
6.000 TL,Kaş/Kalkan,2+1
65.000 TL,Aksu,3+1
110.000 TL,Döşemealtı/Merkez,4+1
120.000 TL,Kepez/Köyler,4+1
6.000 TL,Kaş/Kalkan,3+1
100.000 TL,Serik/Belek,5+1
55.000 TL,Serik/Belek,4+1
34.000 TL,Kumluca/Mavikent,5+1
165.000 TL,Konyaaltı/Köyler,3+1
68.000 TL,Döşemealtı/Köyler,3+1
46.000 TL,Serik,5+1
150.000 TL,Muratpaşa/Lara,5+1
5.000 TL,Kaş/Kalkan,2+1
55.000 TL,Kepez/Köyler,5+1
60.000 TL,Aksu,4+1
75.000 TL,Döşemealtı/Yeşilbayır,4+1
46.000 TL,KaşKalkan,5+1
35.000 TL,Alanya/Beldeler,4+1
27.000 TL,Aksu/Köyler,2+1
34.000 TL,Kumluca/Mavikent,6+1
60.000 TL,Manavgat,2+1
75.000 TL,Alanya,3+1
30.000 TL,Döşemealtı/Köyler,2+1
45.000 TL,Serik/Belek,5+1
5.000 TL,Kaş/Kalkan,2+1
100.000 TL,Konyaaltı/Köyler,5+1
75.000 TL,Döşemealtı/Merkez,5+1
85.000 TL,Serik,4+1
30.000 TL,Alanya/Beldeler,2+1
6.000 TL,Kaş/Kalkan,4+1
150.000 TL,Kemer/Göynük,7+2
42.000 TL,Manavgat/Ilıca,2+1
45.000 TL,Kumluca/Mavikent,5+1
42.000 TL,Serik,5+1
55.000 TL,Aksu/Köyler,3+1
48.000 TL,Serik,3+1
40.000 TL,Kemer,3+1
58.000 TL,Muratpaşa/Lara,5+2
7.000 TL,Kaş/Köyler,3+1
85.000 TL,Döşemealtı/Merkez,3+1
14.999 TL,Kaş/Kalkan,4+1
5.000 TL,Kaş/Kalkan,2+1
5.000 TL,Kaş/Kalkan,2+1
5.500 TL,Kaş/Kalkan,2+1
85.000 TL,Serik/Belek,6+1
80.000 TL,Muratpaşa/Lara,4+1
100.000 TL,Serik/Belek,4+1
60.000 TL,Konyaaltı/Arapsuyu,3+1
60.000 TL,DöşemealtıYeşilbayır,7+1
