Category,Product Name,Price,Date
Akülü Vidalamalar,Butools 450 Nm Akülü Somun Bijon Sökme Takma Sikma Makinesi Matkap Vidalama Kömürsüz Motor,3800.0,2026.05.14
Akülü Vidalamalar,Pst 145 T Darbeli̇ Şarjli Vi̇dalama Tornavi̇da,5814.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 2 Ah Çift Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,8999.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 3 Ah Tek Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇,7499.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 3 Ah Çift Bataryalı Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,9999.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 2 Ah Çift Bataryalı Vidalama Ve Gas 12 Şarjlı Araç Süpürgesi̇,7999.0,2026.05.14
Akülü Vidalamalar,Gsb Darbeli 120 Li 2 Ah Çift Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,9999.0,2026.05.14
Akülü Vidalamalar,Gsb Darbeli 120 Li 3 Ah Çift Akülü Vidalama +  Bosch Gas 12 Şarjlı Araç Süpürgesi̇ + Bosch V-line 103 Parça Uç Seti,10999.0,2026.05.14
Akülü Vidalamalar,Psd 2228 Şarjlı Vidalama 4v 1500 Mah 30 Parça Uç Seti,1199.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 2 Ah Tek Akülü Vidalama + Bosch Gas 12 Şarjlı Araç Süpürgesi̇,6999.0,2026.05.14
Akülü Vidalamalar,Gsr 120 Li 3 Ah Çift Bataryalı Vidalama Ve Gas 12 Şarjlı Araç Süpürgesi̇,8999.0,2026.05.14
Akülü Vidalamalar,İki̇li̇ Set Mk350 (ş.dekupaj+s.sikma),4035.0,2026.05.14
Akülü Vidalamalar,"Çift Taraflı Uç Ph1/pz1-0,60/1,0 Mm 3&#039;lü Çift Taraflı 2607001745",403.0,2026.05.14
Akülü Vidalamalar,Te-cd 18/50 Li-i Bl Solo Kömürsüz Akülü Darbeli Matkap - 4513942,3349.0,2026.05.14
Akülü Vidalamalar,Alçıpan Vidalama Bse,1867.0,2026.05.14
Akülü Vidalamalar,Qui̇x  Mıknatıslı Yıldız Uç Pz  2*65 Mml  ( 10 Adet),775.0,2026.05.14
Akülü Vidalamalar,Mclaren Dcf85mp2t-qw 18v 2x5ah Akülü Darbeli Vidalama,16772.0,2026.05.14
Akülü Vidalamalar,Te-cd 18 Li-i Bl Akülü Darbeli Vidalama + Pxc Starter Kit Akü 18v 2.5ah + Şarj Cihazı 900w - 4513860,4733.57,2026.05.14
Akülü Vidalamalar,Gsb 18v-45 Çift Akülü 2.0 Ah Darbeli Vidalama + 63 Parça Aksesuar Seti,10215.0,2026.05.14
Akülü Vidalamalar,X-line Premium Delme Ve Vidalama Ucu Aksesuar Seti 49 Parça- 2608p00233,1232.0,2026.05.14
Akülü Vidalamalar,- Impact Control Serisi Vidalama Ucu 8&#039;li Ph1/ph2x3/ph3/pz2x2/pz3 *50mm,741.0,2026.05.14
Akülü Vidalamalar,Gdx 18v-285 2 X 2ah Akülü Darbeli Somun Sıkma - 06019n2122,13114.99,2026.05.14
Akülü Vidalamalar,6&#039;lı Set Kömürsüz Kırıcı Delici Hilti+vidalama+taşlama+somun Sökme+budama Testeresi+budama Makası,8899.9,2026.05.14
Akülü Vidalamalar,12v Çift Akülü Metal Şanzıman Şarjlı Darbeli Matkap Akülü Vidalama,1249.9,2026.05.14
Akülü Vidalamalar,Cheli̇kbei̇ 13mm Çelik Mandren Vidalama Mk36,2786.0,2026.05.14
Akülü Vidalamalar,Yedi̇li̇ Set (powerbank&amp;led+ Ş.hilti+ş.spral+s.sıkma+13mm Ç.mandren+ş.dekupaj+sunta Kesme),10780.0,2026.05.14
Akülü Vidalamalar,"Professional Tp-cd 18/70 Li-i Bl (2x2,0ah)  Akülü Darbeli Vidalama  + Einhell Vidalama Uç Seti 42 Parça M-case Kutu",8868.0,2026.05.14
Akülü Vidalamalar,Gdr 18v-220c + Gsr 18v-90c Vidalama + 2x4 Akü Kombi Seti,26370.0,2026.05.14
