Product Name,Price,Category
Siyah Yırtmaçlı Jarse Elbise,3999.95,elbise
Siyah Yırtmaç Detaylı Örme Elbise,7999.95,elbise
Siyah Kolsuz Midi Boy Elbise,12999.95,elbise
Kemik İp Askılı Triko Elbise,4999.95,elbise
Siyah Büzgü Detaylı Midi Örme Elbise,3999.95,elbise
Siyah Kolsuz Yırtmaçlı Elbise,5999.95,elbise
Siyah Saten Kolsuz Midi Elbise,9999.95,elbise
Siyah Büzgülü Elbise,1499.95,elbise
Vanilya Kısa Kollu Kloş Elbise,999.95,elbise
Siyah Pliseli Elbise,1999.95,elbise
Siyah Kemerli Dik Yaka Elbise,1499.95,elbise
Lacivert Fermuarlı Elbise,1999.95,elbise
Lacivert Düğmeli Elbise,2499.95,elbise
Kahverengi Kısa Kollu Elbise,999.95,elbise
Siyah Bağcıklı Elbise,1499.95,elbise
Kemik Garnili Kolsuz Triko Elbise,1499.95,elbise
Kahverengi Düğme Detaylı Triko Elbise,1999.95,elbise
Siyah Pencere Detaylı Elbise,999.95,elbise
Kemik Kemerli Dik Yaka Elbise,1499.95,elbise
Bordo Drapeli Mini Elbise,2999.95,elbise
Vanilya Düz Elbise,999.95,elbise
Yeşil Pileli Midi Elbise,1499.95,elbise
Siyah Midi Boy Deri Elbise,1499.95,elbise
Yeşil Düz Elbise,999.95,elbise
Siyah Büzgülü Elbise,999.95,elbise
Kahverengi  İşlemeli Mini Elbise,1499.95,elbise
Mürdüm Fırfırlı Elbise,1799.95,elbise
Siyah Tek Omuz Kadife Elbise,1999.95,elbise
Siyah Garnili Kolsuz Triko Elbise,1499.95,elbise
Mürdüm Desenli Uzun Kollu Elbise,1999.95,elbise
Vanilya Aksesuarlı Elbise,1999.95,elbise
Mürdüm  İşlemeli Mini Elbise,1499.95,elbise
Kahverengi Yırtmaçlı Örme Elbise,999.95,elbise
Siyah Dantel Jile Elbise,1999.95,elbise
Kahverengi Boğazlı Triko Elbise,1299.95,elbise
Siyah Kolsuz Triko Elbise,1999.95,elbise
Lacivert Şifon Gömlek Elbise,1999.95,elbise
Bordo Cepli Mini Elbise,1999.95,elbise
Mürdüm Gabardin Dik Yaka Elbise,1499.95,elbise
Lacivert Ceket Elbise,4999.95,elbise
Siyah Gabardin Bağlamalı Elbise,999.95,elbise
Siyah Dik Yaka Triko Elbise,1499.95,elbise
Bordo Kolsuz Triko Elbise,1999.95,elbise
Siyah Askılı Dar Triko Elbise,1499.95,elbise
Lacivert Kadife Uzun Kollu Elbise,1999.95,elbise
Siyah Boğazlı Triko Elbise,1299.95,elbise
Gri Kolsuz Gabardin Elbise,1499.95,elbise
Kahverengi Payetli Kısa Elbise,2999.95,elbise
Siyah Kadife Mini Elbise,2499.95,elbise
Siyah Ceket Elbise,2499.95,elbise
Yeşil Omuzları Açık Kadife Elbise,1999.95,elbise
Yeşil Tek Omuz Kadife Elbise,1999.95,elbise
Bordo Aksesuarlı Elbise,1999.95,elbise
Gri Cepli Elbise,1499.95,elbise
Lacivert Toka Detaylı Mini Elbise,1999.95,elbise
Lacivert Gömlek Yakalı Kısa Kollu Elbise,1999.95,elbise
Siyah V Yaka Süet Detaylı Elbise,1999.95,elbise
Saks Mert Aslan Aksesuarlı Drapeli Tafta Elbise,2999.95,elbise
Vanilya Taş Detaylı Elbise,1999.95,elbise
Lacivert Yakası ve Cepleri Taşlı Denim Elbise,1999.95,elbise
Kahverengi Desenli Örme Elbise,1999.95,elbise
Siyah Mert Aslan Aksesuarlı Drapeli Tafta Elbise,2999.95,elbise
Lacivert Pileli Kolsuz Elbise,3999.95,elbise
Siyah Örme Gömlek Elbise,1999.95,elbise
Siyah Asimetrik Elbise,1999.95,elbise
Siyah Kolsuz Mini Elbise,2999.95,elbise
Gri Kruvaze Elbise,2499.95,elbise
Gri Balıkcı Yaka Sırtı Acık Triko Elbise,999.95,elbise
Siyah Fermuarlı Elbise,999.95,elbise
Bordo Night Zoom Askılı İşlemeli Elbise,5999.95,elbise
Siyah Mert Aslan Kare Yaka Mini Elbise,1999.95,elbise
Siyah Anvelop Elbise,1999.95,elbise
Kemik Saten Detaylı  Elbise,1999.95,elbise
