product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
11232,https://yapimaks.com/20-3-4-oynar-basli-rekor-dis-disli-erkek-kalde-p11232,"20 3/4"" Oynar Başlı Rakor - Erkek, Dış Dişli Rakor, PPRC, 20 mm x 3/4""",KALDE.3252TUM200C00,KALDE,Birim: Adet,Adet,"96,00",TRY,2026-03-17 22:32:11
4773,https://yapimaks.com/20-45-dirsek-pprc-kalde-p4773,"20/45 Dirsek, PPRC, Çap=20 mm Açı=45°",KALDE.3212ELB200045,KALDE,Birim: Adet,Adet,"5,00",TRY,2026-03-17 22:32:14
4772,https://yapimaks.com/20-90-dirsek-kapali-pprc-kalde-p4772,"20/90 Dirsek, PPRC, Çap=20 mm Açı=90°",KALDE.3212ELB200000,KALDE,Birim: Adet,Adet,"4,00",TRY,2026-03-17 22:32:17
4769,https://yapimaks.com/20-c-kavis-pprc-kalde-p4769,,,,,,,TRY,2026-03-17 22:32:20
4854,https://yapimaks.com/20-ciftli-kelepce-pprc-kalde-p4854,,,,,,,TRY,2026-03-17 22:32:30
4812,https://yapimaks.com/20-filtre-disi-pprc-kalde-p4812,,,,,,,TRY,2026-03-17 22:32:40
4847,https://yapimaks.com/20-kapama-basligi-pprc-kalde-p4847,,,,,,,TRY,2026-03-17 22:32:50
4855,https://yapimaks.com/20-kelepce-pprc-kalde-p4855,,,,,,,TRY,2026-03-17 22:33:00
4766,https://yapimaks.com/20-kompozit-boru-pprc-4-m-kalde-p4766,,,,,,,TRY,2026-03-17 22:33:11
4851,https://yapimaks.com/20-kortapa-disli-pprc-kalde-p4851,,,,,,,TRY,2026-03-17 22:33:21
4832,https://yapimaks.com/20-kuresel-vana-pprc-kalde-p4832,,,,,,,TRY,2026-03-17 22:33:31
4780,https://yapimaks.com/20-manson-pprc-kalde-p4780,,,,,,,TRY,2026-03-17 22:33:41
4762,https://yapimaks.com/20-pprc-boru-4-mt-kalde-p4762,,,,,,,TRY,2026-03-17 22:33:51
4789,https://yapimaks.com/20-te-pprc-kalde-p4789,,,,,,,TRY,2026-03-17 22:34:01
4801,https://yapimaks.com/25-1-2-batarya-baglantisi-ciftli-kalde-p4801,,,,,,,TRY,2026-03-17 22:34:11
4802,https://yapimaks.com/25-1-2-batarya-baglantisi-federli-ciftli-kalde-p4802,,,,,,,TRY,2026-03-17 22:34:21
4800,https://yapimaks.com/25-1-2-batarya-baglantisi-tekli-disi-kalde-p4800,,,,,,,TRY,2026-03-17 22:34:31
4809,https://yapimaks.com/25-1-2-dis-disli-dirsek-pprc-kalde-p4809,,,,,,,TRY,2026-03-17 22:34:41
4821,https://yapimaks.com/25-1-2-dis-disli-rekor-kalde-p4821,,,,,,,TRY,2026-03-17 22:34:51
4805,https://yapimaks.com/25-1-2-ic-disli-dirsek-pprc-kalde-p4805,"25 1/2"" Dişi Dirsek, İç Dişli Dirsek, PPRC",KALDE.3222EFO250B00,KALDE,Birim: Adet,Adet,"34,00",TRY,2026-03-17 22:35:01
4816,https://yapimaks.com/25-1-2-ic-disli-rekor-kalde-p4816,"25 1/2"" Dişi Nipel, İç Dişli Rakor, PPRC",KALDE.3222NFO250B00,KALDE,Birim: Adet,Adet,"32,00",TRY,2026-03-17 22:35:05
4826,https://yapimaks.com/25-1-2-ic-disli-te-pprc-kalde-p4826,"25 1/2"" Dişi Te, İç Dişli Te, PPRC, 25 mm x 1/2"" x 25 mm",KALDE.3222TFO250B25,KALDE,Birim: Adet,Adet,"39,00",TRY,2026-03-17 22:35:08
4837,https://yapimaks.com/25-1-2-oynar-basli-rekor-dis-disli-erkek-kalde-p4837,"25 1/2"" Oynar Başlı Rakor - Erkek, Dış Dişli Rakor, PPRC, 25 mm x 1/2""",KALDE.3252TUM250B00,KALDE,Birim: Adet,Adet,"143,00",TRY,2026-03-17 22:35:11
4836,https://yapimaks.com/25-1-2-oynar-basli-rekor-disi-kalde-p4836,"25 1/2"" Oynar Başlı Rakor - Dişi, İç Dişli Rakor, PPRC, 25 mm x 1/2""",KALDE.3252TUF250B00,KALDE,Birim: Adet,Adet,"127,00",TRY,2026-03-17 22:35:13
4830,https://yapimaks.com/25-1-2-te-dis-disli-kalde-p4830,"25 1/2"" Erkek Te, Dış Dişli Te, PPRC, 25 mm x 1/2"" x 25 mm",KALDE.3222TMO250B25,KALDE,Birim: Adet,Adet,"47,00",TRY,2026-03-17 22:35:16
14606,https://yapimaks.com/25-1-rekor-oynar-basli-ic-disli-kalde-p14606,,,,,,,TRY,2026-03-17 22:35:19
4793,https://yapimaks.com/25-20-25-inegal-te-pprc-kalde-p4793,,,,,,,TRY,2026-03-17 22:35:29
4784,https://yapimaks.com/25-20-reduksiyon-pprc-kalde-p4784,,,,,,,TRY,2026-03-17 22:35:39
4810,https://yapimaks.com/25-3-4-dis-disli-dirsek-pprc-kalde-p4810,,,,,,,TRY,2026-03-17 22:35:50
4822,https://yapimaks.com/25-3-4-dis-disli-rekor-pprc-kalde-erkek-nipel-p4822,,,,,,,TRY,2026-03-17 22:36:00
4806,https://yapimaks.com/25-3-4-ic-disli-dirsek-pprc-kalde-p4806,,,,,,,TRY,2026-03-17 22:36:10
4817,https://yapimaks.com/25-3-4-ic-disli-rekor-pprc-kalde-p4817,,,,,,,TRY,2026-03-17 22:36:20
11233,https://yapimaks.com/25-3-4-oynar-basli-dis-disli-rekor-erkek-kalde-p11233,,,,,,,TRY,2026-03-17 22:36:30
4841,https://yapimaks.com/25-3-4-rekor-oynar-basli-ic-disli-kalde-p4841,,,,,,,TRY,2026-03-17 22:36:40
4831,https://yapimaks.com/25-3-4-te-dis-disli-pprc-kalde-p4831,,,,,,,TRY,2026-03-17 22:36:50
4827,https://yapimaks.com/25-3-4-te-ic-disli-pprc-kalde-p4827,,,,,,,TRY,2026-03-17 22:37:00
4775,https://yapimaks.com/25-45-dirsek-acik-pprc-kalde-p4775,,,,,,,TRY,2026-03-17 22:37:10
4774,https://yapimaks.com/25-90-dirsek-kapali-pprc-kalde-p4774,,,,,,,TRY,2026-03-17 22:37:20
4770,https://yapimaks.com/25-c-kavis-pprc-kalde-p4770,,,,,,,TRY,2026-03-17 22:37:30
4856,https://yapimaks.com/25-ciftli-klips-pprc-kalde-p4856,,,,,,,TRY,2026-03-17 22:37:40
4813,https://yapimaks.com/25-filtre-disi-pprc-kalde-p4813,,,,,,,TRY,2026-03-17 22:37:50
4848,https://yapimaks.com/25-kapama-basligi-pprc-kalde-p4848,,,,,,,TRY,2026-03-17 22:38:01
4857,https://yapimaks.com/25-kelepce-pprc-kalde-p4857,,,,,,,TRY,2026-03-17 22:38:11
