product_id,name,sku,marka,stok_durumu,birim,price,currency,url,scraped_at
4851,"20'lik Körtapa, PPRC, Çap=20 mm, 1/2""",KALDE.3295STE200B00,KALDE,Birim: Adet,Adet,"2,00",TRY,https://yapimaks.com/20-kortapa-disli-pprc-kalde-p4851,2026-03-19 15:10:04
4832,"20'lik Küresel Vana, PPRC, Çap=20 mm",KALDE.3242VLB200003,KALDE,Birim: Adet,Adet,"84,00",TRY,https://yapimaks.com/20-kuresel-vana-pprc-kalde-p4832,2026-03-19 15:10:05
4780,"20'lik Manşon, PPRC, Çap=20 mm",KALDE.3212MUF200000,KALDE,Birim: Adet,Adet,"3,00",TRY,https://yapimaks.com/20-manson-pprc-kalde-p4780,2026-03-19 15:10:06
4762,"20'lik PP Boru / PN 20, PPRC, Çap=20 mm, 4 m",KALDE.3202TBE200000,KALDE,Birim: Adet,Adet,"102,00",TRY,https://yapimaks.com/20-pprc-boru-4-mt-kalde-p4762,2026-03-19 15:10:08
4789,"20'lik Te, PPRC, Çap=20 mm",KALDE.3212TEO200000,KALDE,Birim: Adet,Adet,"6,00",TRY,https://yapimaks.com/20-te-pprc-kalde-p4789,2026-03-19 15:10:09
4801,"25 1/2"" Çiftli Batarya Bağlantısı, PPRC",KALDE.3222BAT250B04,KALDE,Birim: Adet,Adet,"120,00",TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-ciftli-kalde-p4801,2026-03-19 15:10:10
4802,"25 1/2"" Federli Çiftli Batarya Bağlantısı, PPRC",KALDE.3222BAT250B05,KALDE,Birim: Adet,Adet,"106,00",TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-federli-ciftli-kalde-p4802,2026-03-19 15:10:12
4800,"25 1/2"" Dişi Batarya Bağlantısı, Tekli Dişi, PPRC",KALDE.3222BAT250B01,KALDE,Birim: Adet,Adet,"43,00",TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-tekli-disi-kalde-p4800,2026-03-19 15:10:13
4809,"25 1/2"" Erkek Dirsek, Dış Dişli Dirsek, PPRC",KALDE.3222EMO250B00,KALDE,Birim: Adet,Adet,"45,00",TRY,https://yapimaks.com/25-1-2-dis-disli-dirsek-pprc-kalde-p4809,2026-03-19 15:10:14
4821,25 1/2 DIŞ DİŞLİ REKOR KALDE,,,,,,TRY,https://yapimaks.com/25-1-2-dis-disli-rekor-kalde-p4821,2026-03-19 15:10:16
