item_name,price,category,color,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
"Yumuşak dokulu, açık omuzlu sweatshirt",1490.0,İkili takımlar,Krem rengi,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Siyah,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Koyu lacivert,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Koyu mavi,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Pembe,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Açık gri,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Koyu gri,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Kahverengi,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,Krem rengi,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,1590.0,İkili takımlar,0-526,03,0.0,,,
Yumuşak dokulu palazzo jogger pantolon,950.0,İkili takımlar,Mor,03,0.0,,,
Yumuşak dokunuşlu sweatshirt,1490.0,İkili takımlar,Siyah,03,0.0,,,
Yumuşak dokunuşlu sweatshirt,1490.0,İkili takımlar,Lacivert,03,0.0,,,
Yumuşak dokunuşlu sweatshirt,1490.0,İkili takımlar,Kahverengi,03,0.0,,,
Yumuşak dokunuşlu sweatshirt,1490.0,İkili takımlar,Krem rengi,03,0.0,,,
Yumuşak dokulu kumaş pantolon,1790.0,İkili takımlar,Siyah,03,0.0,,,
Yumuşak dokulu kumaş pantolon,1790.0,İkili takımlar,Lacivert,03,0.0,,,
