Category,Product Name,Price,Date,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Akülü Vidalamalar,12v Dahili Batarya Şarjlı Matkap Akülü Vidalama,1399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,12v Type-c Usb Şarjlı Matkap Dahili Batarya Akülü Vidalama,1399.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Tomax Ph2 Yıldız Bits Sıkma Vidalama Ucu 50 Mm X 5 Adet,269.95,2026.05.08,05,0.0,,,
Akülü Vidalamalar,"Iw20x-700 Darbeli Somun Sıkma Kömürsüz, 700nm Akü Ve Şarj Cihazı Hariç",8775.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Hd20s‑50 Akülü Darbeli Matkap Akü Ve Şarj Cihazı Hariç,2925.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Rtl80180 Bordo 180 Nm Vi̇dalama,9650.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Hd20x-60tt Akülü Darbeli Matkap Kömürsüz 60nm 1x2ah,7137.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Hpa0416 Şarjlı Tornavida 4v 1.3ah 4nm 200 Dev/dk 1/4” Hex Lokmalı Set,1462.5,2026.05.08,05,,,,
Akülü Vidalamalar,Impact Çift Taraflı Vidalama Ucu Pz2150mm3lü,534.49,2026.05.08,05,0.0,,,
Akülü Vidalamalar,X-line 76 Parça Profesyonel Aksesuar Seti 2608p00234,4237.5,2026.05.08,05,0.0,,,
Akülü Vidalamalar,4140 20v Lion Şarjlı Matkap/akülü Vidalama (2 Akülü),5454.15,2026.05.08,05,,,,
Akülü Vidalamalar,13mm Bse Vidalama,1621.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Alçıpan Vidalama Dwe,1867.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 3x60 T7 Elektroni̇kçi̇ Torx Uçlu Klemens Tornavi̇da,196.3,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 4x150 Elektroni̇kçi̇ Düz Uçlu Klemens Tornavi̇da,271.2,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 2.5x60 T6 Elektroni̇kçi̇ Torx Uçlu Klemens Tornavi̇da,191.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş Tr27 Deli̇kli̇ Torx Uçlu Tornavi̇da,377.9,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 8x175 Kraft Seri̇ Düz Uçlu Tornavi̇da,383.4,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 3x40 Kraft Seri̇ Düz Uçlu Tornavi̇da,165.5,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş Ph2 25mm Yildiz Bi̇ts Uç,77.5,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 14mm T Kol Lokma Uçlu Tornavi̇da,546.92,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 4x80 Kraft Seri̇ Düz Uçlu Tornavi̇da,182.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 6.5x25 Kraft Seri̇ Düz Uçlu Topaç Tornavi̇da,197.4,2026.05.08,05,0.0,,,
Akülü Vidalamalar,İzeltaş 6x200 Ph2 Kraft Seri̇ Yildiz Uçlu Tornavi̇da,406.5,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Torklu Vidalama Red,3452.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Yuvarlak Yıldız Bist Uç Ph2/150mm,2370.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Beşli Set Mw350r (10mm Ç.mandren+s.sıkma+ş.spral+ş.hilti+budama),9030.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Yuvarlak Yıldız Bist Uç Ph2/75mm,2370.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Torklu Vidalama Ht,3452.0,2026.05.08,05,0.0,,,
Akülü Vidalamalar,Yuvarlak Yıldız Bist Uç Ph2/100mm,2370.0,2026.05.08,05,0.0,,,
