Title,Weekly Inflation(%)
COLGATE D.FIRCASI MIKRO ADVANCED,0.0
COLGATE D.MACUNU 75 ML MAX BEYAZLIK,-13.334222281485431
COLGATE D.MACUNU 75ML BARBIE SPIDERMAN COCUK,-15.79030475288173
COLGATE D.MACUNU 75ML MISVAK OZLU,0.0
COLGATE DIS IPI DIS ETI SAGLIGI,-5.714448984256693
COOK B.DOLABI POSETI ORTA 4AL3 ODE,0.0
COOK B.DOLABI POŞET BÜYÜK 15 Lİ (30X45),0.0
COOK B.DOLABI POŞET KÜÇÜK 30 LI(20X30),0.0
COOK PİŞİRME KAĞIDI 16 LI HAZIR KESİLMİŞ,0.0
COOK STREÇ FİLM 15MT,0.0
COOK ÇÖP TORBASI BATTAL 7LI(75X90),0.0
COOK ÇÖP TORBASI EKO KÜÇÜK 30LI(40X47),0.0
COOK ÇÖP TORBASI JUMBO 7 LI(80X110),0.0
CORNETTO DISC MILKA 130ML,0.0
COŞKUN PARMAK SUCUK KG(I.İ),0.0
CUMHURIYET 180 GR VAKUMLU KANGAL SUCUK,0.0
CUMHURİYET FERM.SUCUK 300 GR,0.0
CUTIE CAKES KEK 45 GR  CIKOLATALI,0.0
CİPSO 150 GR TIR. ORG. %20 PARTİ,0.0
DAGLI YARIM YAGLI ERTIME PEYNIR KG,0.0
DALAN 4X150 GR GLISERINLI SABUN MISKET LIMONU,0.0
DALAN 5X180 GR ANTIK PIRINA SABUNU,0.0
DALAN 600GR BEYAZ BANYO SABUNU GUL,0.0
DALAN 600GR BEYAZ BANYO SABUNU KLASIK,0.0
DALAN 600GR YESIL BANYO SABUNU Z.YAGLI,0.0
DALIN 150 ML SPREY KOLONYA CICEK BAHCESI,0.0
DALIN BEBE YAGI NORMAL 300ML,0.0
DALIN KOLAY TARAMA SPREYI 200 ML,0.0
DALIN KOPUK SABUN MANGO 200ML,0.0
DALIN SAMPUAN 900 ML,0.0
DALIN SIVI DETERJAN 1500 ML,0.0
DANA ANTRIKOT KG,0.0
DANA BIFTEK KG,0.0
DANA GULAS KG,0.0
DANA INCIK KG,0.0
DANA KASAP KOFTE KG,8.888987655418394
DANA KUSBASI KG,0.0
DANA SOTE KG,0.0
DANA STROGONOF KG,0.0
DANA YEMEKLIK KIYMA KG,0.0
DANET 100 GR KAVURMA,-26.088090786555934
DANET 200 GR FERMENTE SUCUK,0.0
DANET 300 GR FERMENTE SUCUK KUVET,0.0
DANET 50 GR MACAR SALAM,0.0
DANET 60 GR HINDI FUME,0.0
DANET 60 GR HINDI SALAM,0.0
DANET 70 GR FUME KABURGA,0.0
DANET 70 GR PASTIRMA,40.002000100005
DANET FERMENTE SUCUK KG,0.0
