product_id,product_name,category,price
12151,Dr.Oetker Pudra Şekeri 250 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"52,90TL"
12322,Dr.Oetker Kakaolu Puding 147 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"40,91TL"
12999,Yuva Instant Kuru Hamur Mayası 3x11 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"19,90TL"
15924,Marifet Toz Kakao 50 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"29,50TL"
17532,Pakmaya Çikolatalı Puding 115 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"36,50TL"
18548,Dr.Oetker Waffle 210 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"36,90TL"
19459,Dr.Oetker Puding Çikolatalı Bademli 104 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"42,90TL"
19971,Kent Boringer Beyaz Çikolatalı Topping Sos 750 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"165,00TL"
22310,Dr.Oetker Çikolatalı Krem Şanti 77 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"25,00TL"
23393,Sütaş Puding Kakaolu 200 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"20,00TL"
23758,Kent Boringer Karbonat 1 Kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"74,90TL"
11990,Yuva Aktif Kuru Hamur Mayası 100 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Yuva Aktif Kuru Hamur Mayası 100 g Stoğa girince haber ver
12321,Dr.Oetker Çikolata Parçalı Puding 115 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Çikolata Parçalı Puding 115 g Stoğa girince haber ver
14861,Dr.Oetker Mısır Nişastası 150 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Mısır Nişastası 150 g Stoğa girince haber ver
18055,Dr.Oetker Çilekli Puding 120 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Çilekli Puding 120 g Stoğa girince haber ver
20029,Kent Boringer Çilek Aromalı Topping Sos 750 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Kent Boringer Çilek Aromalı Topping Sos 750 g Stoğa girince haber ver
20453,Kent Boringer Pralin 10 Kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Kent Boringer Pralin 10 Kg Stoğa girince haber ver
22555,Dr.Oetker Krem Şanti 144g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Krem Şanti 144g Stoğa girince haber ver
18903,Pakmaya Çikolatalı Portakallı Puding 116 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Pakmaya Çikolatalı Portakallı Puding 116 g Stoğa girince haber ver
23243,Kent Boringer Mısır Nişastası 400 G,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Kent Boringer Mısır Nişastası 400 G Stoğa girince haber ver
23438,Dr.Oetker Hamur Kabartma Tozu 10'lu,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Hamur Kabartma Tozu 10'lu Stoğa girince haber ver
12320,Dr.Oetker Krem Şanti 75 g 24'lü,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Krem Şanti 75 g 24'lü Stoğa girince haber ver
