item_name,price,tarih,kategori,para_birimi
Dr.Oetker Dekor Süsü Konfeti 10 Gr,41.0,2026-03-21,temel-gida,TRY
Dr.Oetker Dekor Süsü Şekerli 10 Gr,41.0,2026-03-21,temel-gida,TRY
Dr.Oetker Ekonomik Krem Şanti 288 Gr,152.0,2026-03-21,temel-gida,TRY
Dr.Oetker Glutensiz Çikolata Sosu 128 Gr,99.0,2026-03-21,temel-gida,TRY
Dr.Oetker Glutensiz Kakao 70 Gr,146.5,2026-03-21,temel-gida,TRY
Dr.Oetker Glutensiz Kakaolu Puding 147 Gr,78.5,2026-03-21,temel-gida,TRY
Dr.Oetker Glutensiz Krem Şanti 72 Gr,66.5,2026-03-21,temel-gida,TRY
Dr.Oetker Glutensiz Pirinç Unu 175 Gr,74.0,2026-03-21,temel-gida,TRY
Dr.Oetker Hamur Kabartma Tozu 10 Lu 100 Gr,42.5,2026-03-21,temel-gida,TRY
Dr.Oetker Hamur Kabartma Tozu 15 Li 150 Gr,46.5,2026-03-21,temel-gida,TRY
Dr.Oetker Hamur Kabartma Tozu 5 Li 50 Gr,22.0,2026-03-21,temel-gida,TRY
Dr.Oetker İrmik Helvası 360 Gr,110.5,2026-03-21,temel-gida,TRY
Dr.Oetker Kakao 100 Gr,147.0,2026-03-21,temel-gida,TRY
Dr.Oetker Kakao 50 Gr,88.0,2026-03-21,temel-gida,TRY
Dr.Oetker Kakaolu Kek Karışımı 350 Gr,121.0,2026-03-21,temel-gida,TRY
Dr.Oetker Kakaolu Puding 147 Gr,59.5,2026-03-21,temel-gida,TRY
Dr.Oetker Karbonat 5 Li 25 Gr,13.5,2026-03-21,temel-gida,TRY
Dr.Oetker Keşkül 140 Gr,42.5,2026-03-21,temel-gida,TRY
Dr.Oetker Krem Şanti 72 Gr,59.0,2026-03-21,temel-gida,TRY
Dr.Oetker Krem Şanti Çikolatalı 77 g,59.0,2026-03-21,temel-gida,TRY
Dr.Oetker Limonlu Kek Karışımı 440 Gr,132.5,2026-03-21,temel-gida,TRY
Dr.Oetker Meyveli Sos 80 Gr,44.0,2026-03-21,temel-gida,TRY
Dr.Oetker Mısır Nişastası 150 Gr,38.5,2026-03-21,temel-gida,TRY
Dr.Oetker Muhallebi 210 Gr,53.5,2026-03-21,temel-gida,TRY
Dr.Oetker Muzlu Puding 120 Gr,49.5,2026-03-21,temel-gida,TRY
Dr.Oetker Orman Meyveli Krem Şanti 72 Gr,59.0,2026-03-21,temel-gida,TRY
Dr.Oetker Pastacı Kreması 55 Gr,29.5,2026-03-21,temel-gida,TRY
Dr.Oetker Pirinç Unu 5 Li 175 Gr,64.0,2026-03-21,temel-gida,TRY
Dr.Oetker Profiterol 305 Gr,187.0,2026-03-21,temel-gida,TRY
Dr.Oetker Pudra Şekeri 250 Gr,73.5,2026-03-21,temel-gida,TRY
Dr.Oetker Revani 500 Gr,107.0,2026-03-21,temel-gida,TRY
Dr.Oetker Sade Kek Karışımı 450 Gr,85.0,2026-03-21,temel-gida,TRY
Dr.Oetker Sade Krem Şanti 144 Gr,101.0,2026-03-21,temel-gida,TRY
Dr.Oetker Şekerli Vanilin 10 Lu 50 Gr,38.5,2026-03-21,temel-gida,TRY
Dr.Oetker Supangle 135 Gr,60.5,2026-03-21,temel-gida,TRY
Dr.Oetker Sütlaç 141 Gr,57.5,2026-03-21,temel-gida,TRY
Dr.Oetker Tavuk Göğsü 121 Gr,38.5,2026-03-21,temel-gida,TRY
Dr.Oetker Trileçe 315 Gr,140.0,2026-03-21,temel-gida,TRY
Dr.Oetker Vanilin 5 Li 25 Gr,18.0,2026-03-21,temel-gida,TRY
Dr.Oetker Vanilya Aromalı Creme Ole 110 Gr,73.5,2026-03-21,temel-gida,TRY
Dr.Oetker Vanilyalı Pasta Kreması 130 Gr,96.5,2026-03-21,temel-gida,TRY
Dr.Oetker Vanilyalı Puding 120 Gr,49.5,2026-03-21,temel-gida,TRY
Duru Başbaşı Bulgur 1 Kg,93.0,2026-03-21,temel-gida,TRY
Duru Çiğköftelik Bulgur 1 Kg,93.0,2026-03-21,temel-gida,TRY
Duru Çiğköftelik Esmer Bulgur 1 Kg,93.0,2026-03-21,temel-gida,TRY
Duru İri Bulgur 1 Kg,93.0,2026-03-21,temel-gida,TRY
Duru Köftelik Bulgur 1 Kg,93.0,2026-03-21,temel-gida,TRY
