tarih,kategori,urun_adi,fiyat,para_birimi
2026-04-20,temel-gida,Dr.Oetker Dekor Süsü Şekerli 10 Gr,41.00,TRY
2026-04-20,temel-gida,Dr.Oetker Ekonomik Krem Şanti 288 Gr,193.50,TRY
2026-04-20,temel-gida,Dr.Oetker Glutensiz Çikolata Sosu 128 Gr,100.00,TRY
2026-04-20,temel-gida,Dr.Oetker Glutensiz Kakao 70 Gr,147.50,TRY
2026-04-20,temel-gida,Dr.Oetker Glutensiz Kakaolu Puding 147 Gr,79.00,TRY
2026-04-20,temel-gida,Dr.Oetker Glutensiz Krem Şanti 72 Gr,67.00,TRY
2026-04-20,temel-gida,Dr.Oetker Glutensiz Pirinç Unu 175 Gr,74.50,TRY
2026-04-20,temel-gida,Dr.Oetker Hamur Kabartma Tozu 10 Lu 100 Gr,42.50,TRY
2026-04-20,temel-gida,Dr.Oetker Hamur Kabartma Tozu 15 Li 150 Gr,60.00,TRY
2026-04-20,temel-gida,Dr.Oetker Hamur Kabartma Tozu 5 Li 50 Gr,22.50,TRY
2026-04-20,temel-gida,Dr.Oetker İrmik Helvası 360 Gr,111.00,TRY
2026-04-20,temel-gida,Dr.Oetker Kakao 100 Gr,171.00,TRY
2026-04-20,temel-gida,Dr.Oetker Kakao 50 Gr,88.50,TRY
2026-04-20,temel-gida,Dr.Oetker Kakaolu Kek Karışımı 350 Gr,121.50,TRY
2026-04-20,temel-gida,Dr.Oetker Kakaolu Puding 147 Gr,59.50,TRY
2026-04-20,temel-gida,Dr.Oetker Karbonat 5 Li 25 Gr,13.50,TRY
2026-04-20,temel-gida,Dr.Oetker Keşkül 140 Gr,42.50,TRY
2026-04-20,temel-gida,Dr.Oetker Krem Şanti 72 Gr,59.50,TRY
2026-04-20,temel-gida,Dr.Oetker Krem Şanti Çikolatalı 77 g,59.50,TRY
2026-04-20,temel-gida,Dr.Oetker Limonlu Kek Karışımı 440 Gr,133.50,TRY
2026-04-20,temel-gida,Dr.Oetker Meyveli Sos 80 Gr,44.50,TRY
2026-04-20,temel-gida,Dr.Oetker Mısır Nişastası 150 Gr,38.50,TRY
2026-04-20,temel-gida,Dr.Oetker Muhallebi 210 Gr,54.00,TRY
2026-04-20,temel-gida,Dr.Oetker Muzlu Puding 120 Gr,49.50,TRY
2026-04-20,temel-gida,Dr.Oetker Orman Meyveli Krem Şanti 72 Gr,59.50,TRY
2026-04-20,temel-gida,Dr.Oetker Pastacı Kreması 55 Gr,29.50,TRY
2026-04-20,temel-gida,Dr.Oetker Pirinç Unu 5 Li 175 Gr,64.50,TRY
2026-04-20,temel-gida,Dr.Oetker Profiterol 305 Gr,188.00,TRY
2026-04-20,temel-gida,Dr.Oetker Pudra Şekeri 250 Gr,74.00,TRY
2026-04-20,temel-gida,Dr.Oetker Revani 500 Gr,108.00,TRY
2026-04-20,temel-gida,Dr.Oetker Sade Kek Karışımı 450 Gr,85.50,TRY
2026-04-20,temel-gida,Dr.Oetker Sade Krem Şanti 144 Gr,102.00,TRY
2026-04-20,temel-gida,Dr.Oetker Şekerli Vanilin 10 Lu 50 Gr,38.50,TRY
2026-04-20,temel-gida,Dr.Oetker Supangle 135 Gr,61.00,TRY
