Product Title,Category,Weekly Inflation(%)
AYICIKLI 2'Lİ TAKIM KIZ BEBEK,Women,0.0
AYICIKLI CHARM ANAHTARLIK,Women,0.0
AYICIKLI ELBİSE KIZ BEBEK,Women,0.0
AYICIKLI GÖMLEK KIZ BEBEK,Women,0.0
AYICIKLI JEAN TULUM ERKEK BEBEK,Women,0.0
AYICIKLI KISA KOLLU TİŞÖRT ERKEK ÇOCUK,Women,0.0
AYICIKLI KOLSUZ JEAN ELBİSE KIZ BEBEK,Women,0.0
AYICIKLI PAMUKLU ELBİSE KIZ ÇOCUK,Women,0.0
AYICIKLI POLO TİŞÖRT KIZ ÇOCUK,Women,0.0
AYICIKLI POPLİN GÖMLEK ERKEK BEBEK,Women,0.0
AYICIKLI PİJAMA TAKIMI,Women,0.0
AYICIKLI PİKE 2'Lİ TAKIM ERKEK BEBEK,Women,0.0
AYICIKLI TİŞÖRT ERKEK BEBEK,Women,0.0
AYICIKLI TİŞÖRT KIZ ÇOCUK,Women,0.0
AYICIKLI ÇİZGİLİ POPLİN GÖMLEK ERKEK ÇOCUK,Women,0.0
BAGGY FIT BELİ LASTİKLİ ŞORT,Women,0.0
BAGGY FIT BERMUDA,Women,0.0
BAGGY FIT BÜYÜK BEDEN ŞORT,Women,0.0
BAGGY FIT GABARDİN PANTOLON KIZ ÇOCUK,Women,0.0
BAGGY FIT GENİŞ PAÇA PANTOLON,Women,0.0
BAGGY FIT JEAN PANTOLON,Women,0.0
BAGGY FIT JEAN PANTOLON KIZ ÇOCUK,Women,0.0
BAGGY FIT NORMAL BEL GABARDİN PANTOLON,Women,0.0
BAGGY FIT PANTOLON,Women,112.70029103659662
BAGGY FIT SKUBA DALGIÇ KUMAŞ PANTOLON,Women,0.0
BAGGY FIT SWEATSHİRT KUMAŞI ALT,Women,0.0
BAGGY FIT YÜKSEK BEL DÜZ PAÇA UZUN JEAN PANTOLON,Women,0.0
BAGGY FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,Women,0.0
BAGGY FIT YÜKSEK BEL UZUN JEAN PANTOLON,Women,0.0
BAGGY FIT ŞORT,Women,0.0
BALIKÇI YAKA MONT KIZ ÇOCUK,Women,0.0
BALLOON FIT BELİ LASTİKLİ MODAL PANTOLON,Women,0.0
BALLOON FIT DİK YAKA POPLİN CEKET,Women,0.0
BALLOON FIT ESNEK BANTLI PAÇA KETEN KARIŞIMLI PANTOLON KIZ BEBEK,Women,0.0
BALLOON FIT JEAN PANTOLON,Women,0.0
BALLOON FIT KISA KOLLU TİŞÖRT,Women,0.0
BALLOON FIT NORMAL BEL DÜZ PAÇA PANTOLON,Women,0.0
BALLOON FIT NORMAL BEL MÜSLİN PANTOLON,Women,0.0
BALLOON FIT NORMAL BEL PANTOLON,Women,0.0
BALLOON FIT NORMAL BEL POPLİN PANTOLON,Women,44.44501425231948
BALLOON FIT PANTOLON,Women,15.384792901456546
BALLOON FIT YARI ELASTİK BANTLI BEL PANTOLON,Women,0.0
BALON ETEK KIZ ÇOCUK,Women,0.0
BANOBAGİ MİLK THİSTLE ONARICI TONİK 200ML,Women,0.0
BARBİE BASKILI KIZ ÇOCUK TİŞÖRT,Women,0.0
BARREL FIT JEAN PANTOLON ERKEK ÇOCUK,Women,0.0
BARREL FIT PANTOLON,Women,15.873167046035366
BARREL FIT SKUBA DALGIÇ KUMAŞ SPORCU PANTOLON,Women,0.0
BARREL FIT YÜKSEK BEL BİLEK BOY JEAN YIKAMALI PANTOLON,Women,0.0
BARREL FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,Women,0.0
BARREL FİT BELİ LASTİKLİ BİLEK BOY CEPLİ YUMUŞAK JEAN PANTOLON,Women,0.0
BARREL FİT DÜZ PAÇA JEAN PANTOLON ERKEK ÇOCUK,Women,0.0
BARREL FİT NORMAL BEL BİLEK BOY BEYAZ JEAN PANTOLON,Women,0.0
BARREL FİT NORMAL BEL BİLEK BOY YUMUŞAK JEAN PANTOLON,Women,0.0
BARREL FİT NORMAL BEL PANTOLON,Women,0.0
BASIC DÜZ KRAVAT,Women,0.0
BASIC GÖMLEK,Women,-6.250078125976574
BASIC KISA KOLLU TİŞÖRT,Women,0.0
BASIC KOLSUZ TUNİK,Women,5.468920903778243
BASIC PİJAMA TAKIMI ÜST ALT,Women,0.0
BASKILI 2'Lİ ERKEK BEBEK TAKIM,Women,0.0
BASKILI 2'Lİ TAKIM ERKEK BEBEK,Women,0.0
BASKILI 7'Lİ PAMUKLU PATİK ÇORAP ERKEK ÇOCUK,Women,0.0
BASKILI CAP ŞAPKA KIZ ÇOCUK,Women,0.0
BASKILI FİTİLLİ KAŞKORSE TİŞÖRT KIZ ÇOCUK,Women,0.0
BASKILI KAYDIRMAZ TABAN 3'LÜ PAMUKLU UZUN ÇORAP ERKEK BEBEK,Women,0.0
