District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Yüreğir / Pttevleri,3+1,46944.444444444445,04,0.0,,,37.81855249745158
Yüreğir / Pttevleri,4+1,33250.0,04,0.0,,,33.0
Yüreğir / Yamaçlı,2+1,25000.0,04,0.0,,,-77.27272727272727
Yüreğir / Yamaçlı,3+1,122875.0,04,0.0,,,9.709821428571429
Yüreğir / Yavuzlar,1+1,39750.0,04,14.224137931034484,,,1.9230769230769231
Yüreğir / Yavuzlar,2+1,88218.75,04,65.44351179673322,,,102.19266181933138
Yüreğir / Yavuzlar,3+1,76547.61904761905,04,-2.6892227113313063,,,8.84133908855189
Yüreğir / Yavuzlar,4+1,53562.5,04,0.0,,,44.763513513513516
Yüreğir / Yavuzlar,5+1,37500.0,04,0.0,,,
Çukurova / Beyazevler,1+1,21303.327272727274,04,0.3206573092381806,,,-1.415539727370985
Çukurova / Beyazevler,1.5+1,18000.0,04,0.0,,,-5.263157894736842
Çukurova / Beyazevler,2+1,25036.0,04,-0.07123119435062383,,,1.4698730072953305
Çukurova / Beyazevler,2.5+1,19500.0,04,0.0,,,-11.363636363636363
Çukurova / Beyazevler,3+1,50230.730769230766,04,8.842398808299823,,,-34.934286568353926
Çukurova / Beyazevler,Stüdyo (1+0),10138.442307692309,04,0.0,,,-2.7485428268948473
Çukurova / Huzurevleri,1+1,27317.073170731706,04,1.5966190902869377,,,-4.69499826844111
Çukurova / Huzurevleri,2+1,42951.724137931036,04,1.7143842234914608,,,-1.149461188208031
Çukurova / Huzurevleri,3+1,73988.74489795919,04,3.621339296611047,,,24.799587627960747
Çukurova / Huzurevleri,3.5+1,300000.0,04,0.0,,,
Çukurova / Huzurevleri,4+1,146208.33333333334,04,3.098452033175524,,,-18.718079096045187
Çukurova / Huzurevleri,5+1,44000.0,04,0.0,,,1.5384615384615328
Çukurova / Köyler,1+1,15000.0,04,5.8823529411764754,,,0.0
Çukurova / Köyler,2+1,37568.15151515151,04,-2.582976314092264,,,-30.3981654283761
Çukurova / Köyler,3+1,63398.50495049505,04,5.8379165883086825,,,35.519114669327564
Çukurova / Köyler,3+2,650000.0,04,0.0,,,
Çukurova / Köyler,3.5+1,35000.0,04,0.0,,,191.66666666666669
Çukurova / Köyler,4+1,352854.1666666667,04,0.0,,,-0.42915931804820145
Çukurova / Köyler,4+2,77500.0,04,0.0,,,25.0
Çukurova / Köyler,5+1,133333.25,04,1.364518341823585,,,15.804638768258986
Çukurova / Köyler,5+2,825000.0,04,0.0,,,39.04494382022471
Çukurova / Köyler,5.5+1,750000.0,04,0.0,,,0.0
Çukurova / Köyler,7+2,125000.0,04,0.0,,,8.695652173913043
Çukurova / Mahfesığmaz,1+1,21717.266187050358,04,-0.9103620986511944,,,-0.046912201446990764
Çukurova / Mahfesığmaz,1.5+1,25750.0,04,0.0,,,-14.166666666666666
