Category,Product Name,Price,Product URL
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14976
Men,Regular Fit Erkek Pantolon 1,"699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13383
Men,Regular Fit Erkek Pantolon 1,"699,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13335
Men,Terrybrown Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-10252
Men,Terrybrown Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-7095
Women,Bella Regular Fit Kadın Pantolon 1,"699,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-14003
Men,Justin Skinny Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/justin-skinny-erkek-pantolon-15019
Men,Justin Skinny Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-12968
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-7171
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13399
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-7178
Men,Ricardo Slim Fit Erkek Pantolon 2,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-15046
Men,Ricardo Slim Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-11720
Men,Ricardo Slim Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-4590
Women,Bella Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/bella-regular-fit-kadin-pantolon-12403
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-7148
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-7094
Women,Straight Regular Fit Kadın Pantolon 5,"499,90",https://www.loft.com.tr/p/straight-regular-fit-kadin-pantolon-12340
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-15002
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-7172
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10260
Men,Ricardo Slim Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10355
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10243
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-2206
Men,Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13382
Men,68 Simon Regular Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-13575
Men,68 Simon Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-13527
Men,68 Simon Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10251
Men,68 Simon Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10342
Men,68 Simon Straight Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-straight-fit-erkek-pantolon-13508
Women,Baggy Baggy Fit Kadın Pantolon 2,"599,90",https://www.loft.com.tr/p/baggy-baggy-fit-kadin-pantolon-13254
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-15000
Men,Terrybrown Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-10352
Men,Tony Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-12982
Women,Wide Leg Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-10628
Women,Wide Leg Regular Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/wide-leg-regular-fit-kadin-pantolon-10627
Men,68 Simon Regular Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10358
Men,68 Simon Regular Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/68-simon-regular-fit-erkek-pantolon-10309
Men,Regular Fit Erkek Pantolon 2,"299,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13589
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-5805
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10324
Men,Ricardo Slim Fit Erkek Pantolon 2,"799,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-12882
Men,Terrybrown Slim Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-13014
Men,Tony Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-13010
