id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
al1830,al1830,"Bosch Akü Seti 18v (2.5Ah, Tek Akü + AL1830)",Bosch,Akü ve Şarj Cihazları,3696.0,3696.0,0.0,PIECE,IN_SALE
1600a019r8,1600a019r8,"BOSCH GAL 12V-40 +2 X GBA 2,0 AH İN KARTON UNI",Bosch,Akü ve Şarj Cihazları,5775.0,5775.0,0.0,PIECE,IN_SALE
1600a00b8j,1600a00b8j,"Bosch GAL 1880 CV + 2x 18V 5,0 Ah Promix",Bosch,Akü ve Şarj Cihazları,13282.5,13282.5,0.0,PIECE,IN_SALE
15659,15659,BOSCH KOMBİ SETİ 18V GSB+GBH+GWS+3X4.0AH+GAL,Bosch,Akülü El Aletleri,31500.0,31500.0,0.0,PIECE,IN_SALE
14629,14629,BOSCH GDS 18V-350 Darbeli Somun Sıkma (2X4 AH AKÜ),Bosch,Şarjlı Somun Sıkma,12600.0,12600.0,0.0,PIECE,IN_SALE
11751,11751,Bosch Gds 18V-1000 Akülü Somun Sıkma Solo (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),Bosch,Şarjlı Somun Sıkma,16800.0,13099.0,22.03,PIECE,IN_SALE
10809,10809,BOSCH GDX 18V-200 C AKÜLÜ DARB. SOMUN SIK 2X5.0 AH,Bosch,Şarjlı Somun Sıkma,24675.0,24675.0,0.0,PIECE,IN_SALE
5232,5232,Bosch GDX 18V-200 C Solo Carton Box Promix,Bosch,Şarjlı Somun Sıkma,12915.0,12915.0,0.0,PIECE,IN_SALE
16102,16102,CATPOWER 5150 AKÜLÜ VİD. 10 MM 20V 2x2.0 Ah,Catpower,Şarjlı Vidalama,3360.0,3360.0,0.0,PIECE,IN_SALE
13021,13021,"Bosch GSR 18V-50 (2x5,0 Ah, L-BOXX)",Bosch,Şarjlı Vidalama,14700.0,14700.0,0.0,PIECE,IN_SALE
12454,12454,STANLEY 10-189 GERİ ÇEKİLEBİLİR MAKET BIÇAĞI,,Maket Bıçakları,242.55,242.55,0.0,PIECE,IN_SALE
10814,10814,İzeltaş 05880 50 150 Su Terazisi 150 cm,İzeltaş,Su Terazileri,2714.25,2714.25,0.0,PIECE,IN_SALE
15893,15893,BOSCH GSH 18V-5 Akülü SDS max kırıcı (SOLO)(AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),Bosch,Şarjlı Kırıcı ve Deliciler,32025.0,27948.0,12.73,PIECE,IN_SALE
15889,15889,BOSCH GBH 18V-36C SDS MAX AKÜLÜ KIRICI DELİCİ SOLO (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),Bosch,Şarjlı Kırıcı ve Deliciler,32550.0,32550.0,0.0,PIECE,IN_SALE
15891,15891,BOSCH GWS 18V-11 S Akülü Taşlama (Solo model) (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),Bosch,Şarjlı Taşlama Makineleri,11235.0,11235.0,0.0,PIECE,IN_SALE
15785,15785,BOSCH GWS 18V-8 Akülü Taşlama Makinesi 1x4.0Ah,Bosch,Şarjlı Taşlama Makineleri,10500.0,9250.0,11.9,PIECE,IN_SALE
15644,15644,BOSCH GWS 18V-8 Akülü Taşlama Makinesi 2x4.0Ah,Bosch,Şarjlı Taşlama Makineleri,15750.0,15750.0,0.0,PIECE,IN_SALE
14646,14646,Bosch GAS 18V-1 Akülü Elektrik Süpürgesi (Solo),Bosch,Diğer Akülü El Aletleri,3696.0,3696.0,0.0,PIECE,IN_SALE
12711,12711,Bosch Gsr 18v-50 Akülü Delme Vidalama 1x2Ah-5Ah,Bosch,Şarjlı Darbeli Matkap,13860.0,13860.0,0.0,PIECE,IN_SALE
11773,11773,Bosch GSB 185-LI Akülü Darbeli Delme Vidalama 2x2.0Ah,Bosch,Şarjlı Darbeli Matkap,8778.0,8778.0,0.0,PIECE,IN_SALE
11518,11518,Bosch Gsb 18v-50 Darbeli Matkap 5 Amper,Bosch,Şarjlı Darbeli Matkap,17325.0,17325.0,0.0,PIECE,IN_SALE
6763,6763,Bosch GSB 18V-50 Akülü Darbeli Matkap (Solo),Bosch,Şarjlı Darbeli Matkap,5775.0,5775.0,0.0,PIECE,IN_SALE
06019g8100,06019g8100,Bosch GSB 120-LI Darbeli Vidalama (2x2 Ah),Bosch,Şarjlı Darbeli Matkap,6352.5,6352.5,0.0,PIECE,IN_SALE
12267,12267,Bosch GDS 18V-400 + GSB 18V-50 Darbeli Somun Sıkma + Vidalama 18V 2 Ah ve 5Ah,Bosch,Şarjlı Vidalama,19623.45,19623.45,0.0,PIECE,IN_SALE
0603947000,0603947000,Bosch Easy Pump Akülü Hava Kompresörü,Bosch Hafif Hizmet,Akülü Hava Kompresörleri,3465.0,3465.0,0.0,PIECE,IN_SALE
temizleme,temizleme,Bosch UniversalBrush Yüzey Temizleme,Bosch,IXO ve Aksesuarları,2571.45,2571.45,0.0,PIECE,IN_SALE
1600a001yc,1600a001yc,Bosch IXO BBQ Mangal Üfleme Aparatı,Bosch Hafif Hizmet,IXO ve Aksesuarları,1039.5,1039.5,0.0,PIECE,IN_SALE
06039a8000,06039a8000,Bosch IXO V Akülü Vidalama,Bosch Hafif Hizmet,IXO ve Aksesuarları,2252.25,2252.25,0.0,PIECE,IN_SALE
1600a001yd,1600a001yd,Bosch Ixo Tirbüşon Aparatı,Bosch Hafif Hizmet,IXO ve Aksesuarları,947.1,947.1,0.0,PIECE,IN_SALE
12959,12959,BOSCH GBH 18V-26 F Akülü Kırıcı Delici (Solo) (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),Bosch,Şarjlı Kırıcı ve Deliciler,20475.0,16699.0,18.44,PIECE,IN_SALE
12620,12620,Bosch GBH 187-LI SDS Plus Tek Akülü Kırıcı Delici 1x5 ah,Bosch,Şarjlı Kırıcı ve Deliciler,19110.0,19110.0,0.0,PIECE,IN_SALE
11772,11772,Bosch GBH 180-LI Kırıcı Delici (2x4.0Ah;Plastik),Bosch,Şarjlı Kırıcı ve Deliciler,19635.0,19635.0,0.0,PIECE,IN_SALE
