product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
Bosch 1600A02NE7 VDE Universal Kablo Sıyırma Pensesi 160 mm,893.97,14500,14500,Bosch Aksesuar ve El Aletleri,Kablo Sıyırıcılar,1040.6,14.09,PIECE,IN_SALE
Bosch Boru Anahtarı Plier Wrench 250mm,2598.75,14498,14498,Bosch Aksesuar ve El Aletleri,Boru Anahtarları,3025.0,14.09,PIECE,IN_SALE
Bosch Torx Anahtarı Takımı 9 Parça,661.0,14496,14496,Bosch Aksesuar ve El Aletleri,Allen Anahtarlar,770.0,14.16,PIECE,IN_SALE
Bosch 1/2'' Cırcır,873.18,14485,14485,Bosch Aksesuar ve El Aletleri,Lokma Anahtarlar,1100.0,20.62,PIECE,IN_SALE
Bahco 2446 Çok Amaçlı Bıçak,750.0,14466,14466,Bahco,Bahçe,935.0,19.79,PIECE,IN_SALE
CETA G05-002-100 Terminal Tornavidası VDE100 MM 1000V,289.0,14075,14075,CETA,Tornavidalar,326.7,11.54,PIECE,IN_SALE
CETA FROMG05-001-080 Terminal Torn. VDE80 MM 1000V,165.0,14074,14074,CETA,Tornavidalar,278.3,40.71,PIECE,IN_SALE
İZELTAŞ 2201 10 0040 Maşalı Boru Anahtarı  4'',6000.0,13859,13859,İzeltaş,Boru Anahtarları,8250.0,27.27,PIECE,IN_SALE
Fiskars Norden Yarma Baltası N12,4158.0,12656,12656,Fiskars,Bahçe,4840.0,14.09,PIECE,IN_SALE
"Fiskars 1051142 Norden Parçalama Baltası N7 38,6cm",3534.3,11886,11886,Fiskars,Bahçe,4114.0,14.09,PIECE,IN_SALE
Bosch BiMetal Hss Panç 43 mm,582.12,10446,10446,Bosch Aksesuarlar,Manuel El Aletleri,677.6,14.09,PIECE,IN_SALE
Hassan 094 Dekor Alçı Malası Plastik Saplı 35 cm,501.0,2656,2656,HASSAN,Malalar,572.0,12.41,PIECE,IN_SALE
CETA B06-18 Cırcırlı Kombine Anahtar Mafsallı,699.0,1864,1864,CETA,Kombine Anahtarlar,1633.5,57.21,PIECE,IN_SALE
CETA B06-09 Cırcırlı Kombine Anahtar Mafsallı,599.0,1861,1861,CETA,Kombine Anahtarlar,1035.1,42.13,PIECE,IN_SALE
İzeltaş 3020 12 2160 Kombine Pense Opak Seri 160 mm,600.0,1685,1685,İzeltaş,Kombine Penseler,880.0,31.82,PIECE,IN_SALE
Ceta 1304M Torex Lokma Uçlu Tornavida,195.0,1676,1676,CETA,Torx Uçlu Tornavidalar,314.6,38.02,PIECE,IN_SALE
GİSON GW-16H1K 1/2'' SOMUN SIKMA,6199.0,15725,15725,Gison,Somun Sıkma Makinaları,7700.0,19.49,PIECE,IN_SALE
BOSCH GDS 18V-350 Darbeli Somun Sıkma (2X4 AH AKÜ),11899.0,14629,14629,Bosch,Şarjlı Somun Sıkma,13200.0,9.86,PIECE,IN_SALE
Gison GW-24D Somun Sıkma 3/4,10499.0,13730,13730,Gison,Somun Sıkma Makinaları,16305.3,35.61,PIECE,IN_SALE
Bosch GDS 18 E Somun Sıkma,21399.0,10802,10802,Bosch,Somun Sıkma Makinaları,27500.0,22.19,PIECE,IN_SALE
Bosch GWS 18V-11 S Akülü Taşlama Solo (Akü ve Sarj Cihazı Dahil Değildir),10799.0,15891,15891,Bosch,Şarjlı Taşlama Makineleri,11770.0,8.25,PIECE,IN_SALE
BOSCH GWS 18V-8 Akülü Taşlama Makinesi 1x4.0Ah,9250.0,15785,15785,Bosch,Şarjlı Taşlama Makineleri,12650.0,26.88,PIECE,IN_SALE
Bosch GWS 30-180 B Büyük Taşlama 2800 w,13999.0,14073,14073,Bosch,"Taşlama, Kesme Makineleri",16940.0,17.36,PIECE,IN_SALE
Bosch UniversalGrind 750-115 Taşlama Makinesi 750w,2059.0,12967,12967,Bosch Hafif Hizmet,"Taşlama, Kesme Makineleri",2420.0,14.92,PIECE,IN_SALE
Bosch GWS 2200-180 H Büyük Taşlama,5490.0,10818,10818,Bosch,"Taşlama, Kesme Makineleri",6380.0,13.95,PIECE,IN_SALE
Bosch Gws 750 Avuç Taşlama 750w,2999.0,4443,4443,Bosch,"Taşlama, Kesme Makineleri",3300.0,9.12,PIECE,IN_SALE
Bosch GWS 9-115 Avuç Taşlama 900w,3999.0,4441,4441,Bosch,"Taşlama, Kesme Makineleri",4235.0,5.57,PIECE,IN_SALE
Bosch GWS 1400 Avuç Taşlama Makinesi 1400 w,7920.0,7924,7924,Bosch,"Taşlama, Kesme Makineleri",7920.0,0.0,PIECE,IN_SALE
ARS Budama Makası VS-8XZ 200 mm,2420.0,14551,14551,ARS,Budama Makasları,2420.0,0.0,PIECE,IN_SALE
"Energy WS 035Y Akülü Budama Makası 3.5cm 2x 4,5AH",8965.0,14264,14264,Energy,Budama Makasları,11000.0,18.5,PIECE,IN_SALE
Rox Camping Ultrasonik Sivrisinek Koruyucu,240.0,12413,12413,Rox,Kamp/Outdoor Ürünler,302.5,20.66,PIECE,IN_SALE
Fiskars 1027058 10 Musluk Bağlantı Aparatı 3/4,143.0,5236,5236,Fiskars,Bahçe Sulama,143.0,0.0,PIECE,IN_SALE
Bosch GSR 18V-65 Akülü Delme Vidalama 2x2.0 ah,9829.0,16158,16158,Bosch,Şarjlı Vidalama,13750.0,28.52,PIECE,IN_SALE
