Product Name,Product Cost,id,sku,brand,category,regular_price,discount_rate,unit,status
Bosch GBA 12V 2.0 ah Akü,2205.0,15985,15985,Bosch,Akü ve Şarj Cihazları,2205.0,0.0,PIECE,IN_SALE
BOSCH ProCORE18V 5.5 Ah Akü,6825.0,15783,15783,Bosch Aksesuar ve El Aletleri,Akü ve Şarj Cihazları,6825.0,0.0,PIECE,IN_SALE
Bosch GBA 18V 4.0Ah Akü,4504.5,14569,14569,Bosch Aksesuarlar,Akü ve Şarj Cihazları,4504.5,0.0,PIECE,IN_SALE
BOSCH GWS 18V-11 S Akülü Taşlama (Solo model) (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),11235.0,15891,15891,Bosch,Şarjlı Taşlama Makineleri,11235.0,0.0,PIECE,IN_SALE
BOSCH KOMBİ SETİ 18V GSB+GBH+GWS+3X4.0AH+GAL,31500.0,12794,12794,Bosch,Akülü El Aletleri,31500.0,0.0,PIECE,IN_SALE
Bosch Gsr 18v-50 Akülü Delme Vidalama 1x2Ah-5Ah,13860.0,12711,12711,Bosch,Şarjlı Darbeli Matkap,13860.0,0.0,PIECE,IN_SALE
Bosch GSB 185-LI Akülü Darbeli Delme Vidalama 2x2.0Ah,8778.0,11773,11773,Bosch,Şarjlı Darbeli Matkap,8778.0,0.0,PIECE,IN_SALE
Bosch Gsb 18v-50 Darbeli Matkap 5 Amper,17325.0,11518,11518,Bosch,Şarjlı Darbeli Matkap,17325.0,0.0,PIECE,IN_SALE
Bosch GSB 18V-50 Akülü Darbeli Matkap (Solo),5775.0,6763,6763,Bosch,Şarjlı Darbeli Matkap,5775.0,0.0,PIECE,IN_SALE
Bosch GSB 120-LI Darbeli Vidalama (2x2 Ah),6352.5,06019g8100,06019g8100,Bosch,Şarjlı Darbeli Matkap,6352.5,0.0,PIECE,IN_SALE
Bosch GDS 18V-400 + GSB 18V-50 Darbeli Somun Sıkma + Vidalama 18V 2 Ah ve 5Ah,19623.45,12267,12267,Bosch,Şarjlı Vidalama,19623.45,0.0,PIECE,IN_SALE
Bosch GDX 180-LI Akülü Somun Sıkma (Solo),5197.5,11909,11909,Bosch,Şarjlı Somun Sıkma,5197.5,0.0,PIECE,IN_SALE
Rtrmax RTX2028-X Lion Akülü Somun Sıkma 4 ah,10482.15,11520,11520,Rtrmax,Şarjlı Somun Sıkma,10482.15,0.0,PIECE,IN_SALE
Bosch  GDS 18V-450 PC Darbeli Somun Sıkma(Solo),13686.75,11467,11467,Bosch,Şarjlı Somun Sıkma,13686.75,0.0,PIECE,IN_SALE
Bosch Gbh 180 LI + Gws 180 LI + Gdx 180 LI +2x5.0 ah,28875.0,12621,12621,Bosch,Şarjlı Vidalama,28875.0,0.0,PIECE,IN_SALE
Bosch Easy Pump Akülü Hava Kompresörü,3465.0,0603947000,0603947000,Bosch Hafif Hizmet,Akülü Hava Kompresörleri,3465.0,0.0,PIECE,IN_SALE
Bosch Procore18V 8.0 ah Akü,7350.0,12858,12858,Bosch Aksesuar ve El Aletleri,Akü ve Şarj Cihazları,7350.0,0.0,PIECE,IN_SALE
Doğuş 17017 Geçmeli Çekpas Plastik 55cm,94.5,12860,12860,DOĞUŞ,Temizlik Ürünleri,94.5,0.0,PIECE,IN_SALE
Bosch GBA 18V 2 Ah Akü,2835.0,12770,12770,Bosch,Akü ve Şarj Cihazları,2835.0,0.0,PIECE,IN_SALE
ARORA 12N9-BS MOTORSİKLET AKÜSÜ,924.0,12712,12712,Diğer,Akü ve Şarj Cihazları,924.0,0.0,PIECE,IN_SALE
"BOSCH PBA 18V 2,5 AH AKÜ W-B",2310.0,12625,12625,Bosch,Akü ve Şarj Cihazları,2310.0,0.0,PIECE,IN_SALE
CATPOWER 271 DİJİTAL AKÜ ŞARJ CİHAZI,5527.2,12199,12199,Catpower,Akü ve Şarj Cihazları,5527.2,0.0,PIECE,IN_SALE
"Bosch GBA 18V Batarya 5,0 ah",5313.0,12090,12090,Bosch Aksesuarlar,Akü ve Şarj Cihazları,5313.0,0.0,PIECE,IN_SALE
Bosch GAL 18V-40 Şarj Cihazı,2887.5,11905,11905,Bosch,Akü ve Şarj Cihazları,2887.5,0.0,PIECE,IN_SALE
Lider 1033 Metal Fırçalık Tezgah Üstü,92.4,11436,11436,Lider,Aksesuarlar,92.4,0.0,PIECE,IN_SALE
Eng Energy Bd12-A Akü Şarj Cihazı 12 V 143 WATT,1680.0,5261,5261,Energy,Akü ve Şarj Cihazları,1680.0,0.0,PIECE,IN_SALE
Bosch 2 x ProCore 18V 5.5 Ah + GAL 1880 CV,15592.5,5241,5241,Bosch,Akü ve Şarj Cihazları,15592.5,0.0,PIECE,IN_SALE
Bosch GBA 12V 3.0Ah Akü,4200.0,5097,5097,Bosch,Akü ve Şarj Cihazları,4200.0,0.0,PIECE,IN_SALE
"Bosch Akü Seti 18v (2.5Ah, Tek Akü + AL1830)",3696.0,al1830,al1830,Bosch,Akü ve Şarj Cihazları,3696.0,0.0,PIECE,IN_SALE
"BOSCH GAL 12V-40 +2 X GBA 2,0 AH İN KARTON UNI",5775.0,1600a019r8,1600a019r8,Bosch,Akü ve Şarj Cihazları,5775.0,0.0,PIECE,IN_SALE
"Bosch GAL 1880 CV + 2x 18V 5,0 Ah Promix",13282.5,1600a00b8j,1600a00b8j,Bosch,Akü ve Şarj Cihazları,13282.5,0.0,PIECE,IN_SALE
Bosch Universal Denetim Kamerası,6142.5,12403,12403,Bosch Hafif Hizmet,Diğer Akülü El Aletleri,6142.5,0.0,PIECE,IN_SALE
Bosch UniversalBrush Yüzey Temizleme,2571.45,temizleme,temizleme,Bosch,IXO ve Aksesuarları,2571.45,0.0,PIECE,IN_SALE
Bosch IXO BBQ Mangal Üfleme Aparatı,1039.5,1600a001yc,1600a001yc,Bosch Hafif Hizmet,IXO ve Aksesuarları,1039.5,0.0,PIECE,IN_SALE
Bosch IXO V Akülü Vidalama,2252.25,06039a8000,06039a8000,Bosch Hafif Hizmet,IXO ve Aksesuarları,2252.25,0.0,PIECE,IN_SALE
Bosch Ixo Tirbüşon Aparatı,947.1,1600a001yd,1600a001yd,Bosch Hafif Hizmet,IXO ve Aksesuarları,947.1,0.0,PIECE,IN_SALE
Bosch Gds 18V-1000 Akülü Somun Sıkma Solo (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),16800.0,solo,solo,Bosch,Şarjlı Somun Sıkma,16800.0,0.0,PIECE,IN_SALE
