Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
Merhaba Uzay,380.0,380.0,TRY,100776,,Sincap Kitap,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/merhaba-uzay,https://www.nezih.com.tr/merhaba-uzay-182673-10-O.jpg
Merhaba Çiftlik,380.0,380.0,TRY,95187,,Sincap Kitap,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/merhaba-ciftlik,https://www.nezih.com.tr/merhaba-ciftlik-178754-95-O.jpg
Mesafeyi Koruyalım - İlk Okuma Kitabım,82.0,82.0,TRY,100622,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mesafeyi-koruyalim-ilk-okuma-kitabim,https://www.nezih.com.tr/mesafeyi-koruyalim-ilk-okuma-kitabim-181368-10-O.jpg
Meslekler,100.0,100.0,TRY,100088,,0 6 Yaş Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/meslekler,https://www.nezih.com.tr/meslekler-181308-10-O.jpg
Mesleklere Ne Oldu,96.0,96.0,TRY,95289,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mesleklere-ne-oldu,https://www.nezih.com.tr/mesleklere-ne-oldu-178867-95-O.jpg
Mini Masallar 2 (10 Kitap Takım),450.0,450.0,TRY,114097,,Timaş Çocuk,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mini-masallar-2-10-kitap-takim,https://www.nezih.com.tr/mini-masallar-2-10-kitap-takim-139307-11-O.jpg
Mini Masallar 4 - (10 Kitap Takım),450.0,450.0,TRY,86798,,Timaş,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/mini-masallar-4-10-kitap-takim,https://www.nezih.com.tr/mini-masallar-4-10-kitap-takim-168587-86-O.jpg
Minik Elif Kitapları Keşfediyor - İlk Okuma Kitabım,82.0,82.0,TRY,100587,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/minik-elif-kitaplari-kesfediyor-ilk-okuma-kitabim,https://www.nezih.com.tr/minik-elif-kitaplari-kesfediyor-ilk-okuma-kitabim-181244-10-O.jpg
Minik Erkekler İçin Tuvalet Eğitimi,200.0,200.0,TRY,100624,,Teleskop Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/minik-erkekler-icin-tuvalet-egitimi,https://www.nezih.com.tr/minik-erkekler-icin-tuvalet-egitimi-181371-10-O.jpg
Minik Kitaplar - Banyoda,70.0,70.0,TRY,103687,,Eolo Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/minik-kitaplar-banyoda,https://www.nezih.com.tr/minik-kitaplar-banyoda-185320-10-O.jpg
