Unnamed: 0,District,Rooms,Price,PriceInt
599,Menemen,1+1,15.000 TL,15000
600,Bergama,3+1,16.000 TL,16000
601,Menemen,1+1,15.000 TL,15000
602,Kınık,2+1,15.000 TL,15000
603,Bergama,1+1,16.000 TL,16000
604,Menemen,1+1,15.000 TL,15000
605,Bornova,2+1,15.000 TL,15000
606,Buca,1+1,15.500 TL,15500
607,Buca,1+1,15.000 TL,15000
608,Ödemiş,2+1,16.000 TL,16000
609,Menemen,1+1,16.000 TL,16000
610,Buca,2+1,16.000 TL,16000
611,Buca,1+1,15.000 TL,15000
612,Menemen,3+1,15.000 TL,15000
613,Buca,1+1,15.000 TL,15000
614,Ödemiş,3+1,15.000 TL,15000
615,Buca,2+1,15.000 TL,15000
616,Menemen,1+1,16.000 TL,16000
617,Ödemiş,3+1,15.000 TL,15000
618,Tire,3+0,16.000 TL,16000
619,Menemen,2+1,16.000 TL,16000
620,Karabağlar,2+1,16.000 TL,16000
621,Kemalpaşa,3+1,15.000 TL,15000
622,Menderes,1+1,15.000 TL,15000
623,Menemen,1+1,15.250 TL,15250
624,Menemen,1+1,16.000 TL,16000
625,Karabağlar,2+1,16.000 TL,16000
626,Buca,1+1,15.000 TL,15000
627,Menemen,1+1,15.500 TL,15500
628,Menemen,1+1,15.000 TL,15000
629,Çiğli,2+1,15.000 TL,15000
630,Menemen,1+1,15.000 TL,15000
631,Bayraklı,1+1,15.500 TL,15500
632,Tire,1+1,15.000 TL,15000
