District,Rooms,Price,PriceInt
Buca,3+1,18.000 TL,18000
Bayraklı,3+1,18.500 TL,18500
Bayraklı,2+1,18.000 TL,18000
Torbalı,1+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Torbalı,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Torbalı,1+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Torbalı,2+1,17.500 TL,17500
Bergama,3+1,18.000 TL,18000
Karabağlar,3+1,18.000 TL,18000
Çiğli,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Aliağa,1+1,18.700 TL,18700
Torbalı,2+1,18.000 TL,18000
Torbalı,1+1,17.500 TL,17500
Bayraklı,3+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Torbalı,2+1,18.000 TL,18000
Çiğli,2.5+1,17.500 TL,17500
Torbalı,1+1,17.500 TL,17500
Menderes,2+1,18.000 TL,18000
Menemen,1+1,18.500 TL,18500
Torbalı,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bornova,2+1,18.000 TL,18000
Gaziemir,2+1,18.000 TL,18000
Buca,1+1,18.250 TL,18250
Torbalı,3+1,17.750 TL,17750
Buca,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Karabağlar,2+1,18.000 TL,18000
Karabağlar,2+1,18.500 TL,18500
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Karabağlar,3+1,18.000 TL,18000
Karşıyaka,2+1,18.000 TL,18000
Selçuk,2+1,18.000 TL,18000
Gaziemir,2+1,18.000 TL,18000
Bergama,1+1,18.000 TL,18000
Bergama,2+1,18.000 TL,18000
Torbalı,1+1,17.500 TL,17500
Gaziemir,1+1,17.500 TL,17500
Çiğli,2+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Bergama,2+1,18.000 TL,18000
Karabağlar,2+1,17.500 TL,17500
Buca,2+1,18.250 TL,18250
Bornova,Stüdyo (1+0),18.500 TL,18500
Bornova,1+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,3+1,18.000 TL,18000
Torbalı,2+1,17.500 TL,17500
Bayraklı,2+1,17.500 TL,17500
Menderes,2+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Torbalı,1+1,17.800 TL,17800
Buca,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Çeşme,Stüdyo (1+0),18.000 TL,18000
Torbalı,1+1,18.500 TL,18500
Menemen,1+1,17.500 TL,17500
Menemen,2.5+1,18.500 TL,18500
Bayraklı,2+1,18.000 TL,18000
Torbalı,1+1,18.500 TL,18500
Menderes,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bergama,3+1,18.000 TL,18000
Çiğli,1+1,18.000 TL,18000
Çiğli,1+1,18.500 TL,18500
Buca,1+1,18.500 TL,18500
Bornova,2+1,18.000 TL,18000
Karabağlar,2+1,18.500 TL,18500
Bornova,2+1,17.500 TL,17500
Menemen,1+1,18.500 TL,18500
Buca,1+1,18.000 TL,18000
Tire,3+1,18.000 TL,18000
Bornova,3+1,18.000 TL,18000
Buca,2+1,18.500 TL,18500
Bayraklı,2+1,18.500 TL,18500
Menemen,2+1,18.000 TL,18000
Bornova,1+1,17.500 TL,17500
Konak,1+1,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Bornova,2.5+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bornova,1+1,17.500 TL,17500
Buca,1+1,18.500 TL,18500
Menemen,1+1,17.500 TL,17500
Buca,1+1,19.500 TL,19500
Buca,2+0,19.500 TL,19500
Buca,1+1,19.000 TL,19000
Buca,1+1,19.000 TL,19000
Karabağlar,1+1,19.000 TL,19000
Bornova,3+1,19.000 TL,19000
Buca,1+1,19.000 TL,19000
Buca,1+1,19.000 TL,19000
Torbalı,1+1,19.000 TL,19000
Bergama,2+1,19.000 TL,19000
Foça,1+1,19.000 TL,19000
Bornova,2+1,19.750 TL,19750
Çiğli,2+1,19.000 TL,19000
Bergama,2+1,19.000 TL,19000
Bergama,3+1,19.000 TL,19000
Buca,1+1,19.000 TL,19000
Menemen,1+1,19.000 TL,19000
Torbalı,2+1,19.000 TL,19000
Bergama,2+1,19.000 TL,19000
Bergama,2+1,19.000 TL,19000
Buca,2+1,19.000 TL,19000
Buca,2+1,19.000 TL,19000
