District,Neighborhood,Rooms,Price,PriceInt
Aliağa,Aliağa / Yeni Mah.,3+1,29.000 TL,29000
Aliağa,Aliağa / Atatürk Mh.,2+1,43.000 TL,43000
Aliağa,Aliağa / Yalı Mh.,3+1,51.000 TL,51000
Aliağa,Aliağa / Siteler Mah.,1+1,25.000 TL,25000
Aliağa,Aliağa / Kazım Dirik Mh.,2+1,22.000 TL,22000
Aliağa,Aliağa / Yalı Mh.,3+1,51.000 TL,51000
Aliağa,Aliağa / Örnekkent Mh.,3+1,65.000 TL,65000
Aliağa,Aliağa / Yeni Mah.,2+1,18.000 TL,18000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,45.000 TL,45000
Aliağa,Aliağa / Kültür Mh.,3+1,28.000 TL,28000
Aliağa,Aliağa / Yalı Mh.,8+2,45.000 TL,45000
Aliağa,Aliağa / Yeni Mah.,3+1,9.000 TL,9000
Aliağa,Aliağa / Örnekkent Mh.,2+1,10.000 TL,10000
Aliağa,Aliağa / Yalı Mh.,4+1,40.000 TL,40000
Aliağa,Aliağa / Siteler Mah.,3+1,40.000 TL,40000
Aliağa,Aliağa / Siteler Mah.,1+1,22.000 TL,22000
Aliağa,Aliağa / Siteler Mah.,2+1,35.000 TL,35000
Aliağa,Aliağa / Siteler Mah.,2+1,35.000 TL,35000
Aliağa,Aliağa / Siteler Mah.,1+1,20.500 TL,20500
Aliağa,Aliağa / Örnekkent Mh.,2+1,22.500 TL,22500
Aliağa,Aliağa / Atatürk Mh.,2+1,16.500 TL,16500
Aliağa,Aliağa / Siteler Mah.,1+1,26.000 TL,26000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Kurtuluş Mh.,2+1,25.000 TL,25000
Balçova,Balçova / Çetin Emeç Mh.,3+1,22.000 TL,22000
Balçova,Balçova / Onur Mah.,3+1,30.000 TL,30000
Balçova,Balçova / Teleferik Mah.,2+1,34.000 TL,34000
Balçova,Balçova / Eğitim Mh.,2+1,30.000 TL,30000
Balçova,Balçova / Fevzi Çakmak Mh.,1+1,45.000 TL,45000
Balçova,Balçova / Çetin Emeç Mh.,2+1,47.500 TL,47500
Balçova,Balçova / Onur Mah.,2+1,35.000 TL,35000
Balçova,Balçova / Eğitim Mh.,1+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,Stüdyo (1+0),21.000 TL,21000
Balçova,Balçova / Çetin Emeç Mh.,3+1,40.000 TL,40000
Balçova,Balçova / Eğitim Mh.,2+1,27.000 TL,27000
Balçova,Balçova / Eğitim Mh.,2+1,35.000 TL,35000
Balçova,Balçova / Teleferik Mah.,3+1,32.000 TL,32000
Balçova,Balçova / Onur Mah.,1+1,20.000 TL,20000
Balçova,Balçova / Korutürk Mh.,2+1,36.000 TL,36000
Balçova,Balçova / Onur Mah.,3+1,45.000 TL,45000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,40.000 TL,40000
Balçova,Balçova / Teleferik Mah.,3+1,47.000 TL,47000
Balçova,Balçova / Onur Mah.,1+1,30.000 TL,30000
Balçova,Balçova / Eğitim Mh.,2+1,40.000 TL,40000
Balçova,Balçova / Eğitim Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,4+1,100.000 TL,100000
Balçova,Balçova / Fevzi Çakmak Mh.,2+1,47.500 TL,47500
Balçova,Balçova / Eğitim Mh.,2+1,30.000 TL,30000
Balçova,Balçova / Eğitim Mh.,3+1,38.000 TL,38000
Balçova,Balçova / Eğitim Mh.,2+1,27.000 TL,27000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,28.000 TL,28000
Balçova,Balçova / Eğitim Mh.,2+1,42.000 TL,42000
Balçova,Balçova / Onur Mah.,3+1,35.000 TL,35000
Balçova,Balçova / Onur Mah.,1+1,30.000 TL,30000
Balçova,Balçova / Çetin Emeç Mh.,3+1,32.000 TL,32000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,42.000 TL,42000
Balçova,Balçova / Korutürk Mh.,3+1,51.000 TL,51000
Balçova,Balçova / Fevzi Çakmak Mh.,1+1,20.000 TL,20000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,40.000 TL,40000
Balçova,Balçova / Eğitim Mh.,1+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Eğitim Mh.,1+1,37.500 TL,37500
Balçova,Balçova / Korutürk Mh.,5+1,95.000 TL,95000
Balçova,Balçova / Teleferik Mah.,2+1,30.000 TL,30000
Balçova,Balçova / Eğitim Mh.,3+1,33.000 TL,33000
Balçova,Balçova / Korutürk Mh.,1+1,35.000 TL,35000
Balçova,Balçova / Onur Mah.,1+1,27.000 TL,27000
Balçova,Balçova / Onur Mah.,3+1,60.000 TL,60000
Balçova,Balçova / Korutürk Mh.,3+1,33.000 TL,33000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,3+1,75.000 TL,75000
Balçova,Balçova / Korutürk Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Eğitim Mh.,1+1,35.000 TL,35000
Balçova,Balçova / Eğitim Mh.,2+1,32.000 TL,32000
Balçova,Balçova / Fevzi Çakmak Mh.,1+1,40.000 TL,40000
Balçova,Balçova / Korutürk Mh.,1+1,25.000 TL,25000
Balçova,Balçova / Eğitim Mh.,1+1,35.000 TL,35000
Balçova,Balçova / Fevzi Çakmak Mh.,2+1,33.500 TL,33500
Balçova,Balçova / Teleferik Mah.,3+1,68.000 TL,68000
Balçova,Balçova / Korutürk Mh.,2+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,2+1,35.000 TL,35000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,45.000 TL,45000
Balçova,Balçova / Teleferik Mah.,3+1,45.000 TL,45000
Balçova,Balçova / Eğitim Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,3+1,28.000 TL,28000
Balçova,Balçova / Teleferik Mah.,2+1,35.000 TL,35000
Balçova,Balçova / Korutürk Mh.,2+1,25.000 TL,25000
Balçova,Balçova / Korutürk Mh.,1+1,50.000 TL,50000
Balçova,Balçova / Onur Mah.,1+1,25.000 TL,25000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,35.000 TL,35000
Balçova,Balçova / Fevzi Çakmak Mh.,1+1,41.000 TL,41000
Balçova,Balçova / Çetin Emeç Mh.,3+1,24.000 TL,24000
Balçova,Balçova / Çetin Emeç Mh.,2+1,30.000 TL,30000
Balçova,Balçova / Fevzi Çakmak Mh.,3+1,47.500 TL,47500
Balçova,Balçova / Teleferik Mah.,3+1,46.000 TL,46000
Balçova,Balçova / Onur Mah.,3+1,35.000 TL,35000
Balçova,Balçova / Teleferik Mah.,3+1,25.500 TL,25500
Balçova,Balçova / Korutürk Mh.,Stüdyo (1+0),20.000 TL,20000
Balçova,Balçova / Onur Mah.,Stüdyo (1+0),16.000 TL,16000
