kategori,urun_id,barcode,urun_ismi,fiyat
ust-giyim,ADX-0003540928,6000002102140,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-0003566902,6000002124456,BİSİKLET YAKA MODAL BASİC T-SHİRT P0365,"299,50 TL"
ust-giyim,ADX-00035691K78,6000002126801,AYARLANABİLİR İP ASKILI MİNİ ELBİSE E17441,"599,50 TL"
ust-giyim,ADX-0003561328,6000002120601,İŞLEMELİ T-SHİRT P1816,"299,50 TL"
ust-giyim,ADX-00035691Z55,6000002126832,AYARLANABİLİR İP ASKILI MİNİ ELBİSE E17441,"599,50 TL"
ust-giyim,ADX-00035691B60,6000002126764,AYARLANABİLİR İP ASKILI MİNİ ELBİSE E17441,"599,50 TL"
ust-giyim,ADX-00035588Z16,6000002118837,BOYUNDAN GEÇMELİ BÜSTİYER B0559,"149,50 TL"
ust-giyim,ADX-00034495Z16,6000002117359,BOYUNDAN BAĞLAMALI CROP BLUZ B0300-T10,"249,50 TL"
ust-giyim,ADX-0003558803,6000002118752,BOYUNDAN GEÇMELİ BÜSTİYER B0559,"149,50 TL"
ust-giyim,ADX-0003169532,6000001857201,HALTER YAKA ATLET A13444-L12,"229,50 TL"
ust-giyim,ADX-0003558603,6000002118554,SIRT DEKOLTELİ BLUZ B0573,"229,50 TL"
ust-giyim,ADX-00034630Z16,6000002107497,İP ASKILI BODYSUİT Z0227-R9,"279,50 TL"
ust-giyim,ADX-00035480536,6000002109538,KOLSUZ BAĞLAMALI GÖMLEK G17399-Y8,"649,50 TL"
ust-giyim,ADX-00035466536,6000002139566,POLO YAKA FERMUARLI BLUZ B251023,"479,50 TL"
ust-giyim,ADX-0003546625,6000002139542,POLO YAKA FERMUARLI BLUZ B251023,"479,50 TL"
ust-giyim,ADX-0003546603,6000002108340,POLO YAKA FERMUARLI BLUZ B251023,"479,50 TL"
ust-giyim,ADX-0003538413,6000002125088,V YAKA BASİC T-SHİRT P4380-D10,"329,50 TL"
ust-giyim,ADX-00034659Z51,6000002109644,YAKASI ÇITÇITLI MODAL T-SHİRT P0346-İ12,"299,50 TL"
ust-giyim,ADX-00033089536,6000002065360,AYICIK BASKILI ŞORTLU PİJAMA TAKIMI Ş083-J2,"219,50 TL"
ust-giyim,ADX-0003575228,6000002131430,MODAL ALT-ÜST İKİLİ TAKIM TKM13985,"1.199,50 TL"
ust-giyim,ADX-00035513536,6000002112835,POLO YAKA FERMUARLI BLUZ B251028,"449,50 TL"
ust-giyim,ADX-0003551302,6000002112774,POLO YAKA FERMUARLI BLUZ B251028,"449,50 TL"
ust-giyim,ADX-00035524K78,6000002113825,KETEN KARIŞIMLI ASKILI BLUZ A17416,"349,50 TL"
ust-giyim,ADX-00035652B02,6000002122704,V YAKA BAĞLAMALI BLUZ B18376,"499,50 TL"
ust-giyim,ADX-00035524Z55,6000002113856,KETEN KARIŞIMLI ASKILI BLUZ A17416,"349,50 TL"
ust-giyim,ADX-00035497Z16,6000002111395,BASİC KALIN T-SHİRT P10493-W7,"359,50 TL"
ust-giyim,ADX-0003540903,6000002102119,KAYIK YAKA BASİC T-SHİRT P1805,"299,50 TL"
ust-giyim,ADX-00035669536,6000002124517,BİSİKLET YAKA MODAL BASİC T-SHİRT P0365,"299,50 TL"
ust-giyim,ADX-0003450504,6000002098153,POLO YAKA MODAL T-SHİRT P4311-H12,"299,50 TL"
