ProductName,Total_Period_Change_%,2026-04_Change_%
%100 5207 BEYAZ ERKEK FIT MADMEXT OVER PAMUK TIŞÖRT,0.0,0.0
%100 5207 ERKEK FIT GRI MADMEXT OVER PAMUK TIŞÖRT,0.0,0.0
%100 5207 ERKEK FIT HAKI MADMEXT OVER PAMUK TIŞÖRT,0.0,0.0
%100 5237 ERKEK MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 5251 BEYAZ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5257 ERKEK LACIVERT MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5257 ERKEK MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 5258 BASKILI BEJ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5258 BASKILI ERKEK GRI MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5359 BASKILI BEJ MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5359 BASKILI BORDO MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5359 BASKILI MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 5369 BEYAZ MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5369 KOYU MADMEXT PAMUK TIŞÖRT YEŞIL,0.0,0.0
%100 5372 BEJ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5372 BEYAZ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5372 ERKEK MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 5372 ERKEK MADMEXT PAMUK TIŞÖRT YEŞIL,0.0,0.0
%100 5393 BASKILI BORDO MADMEXT MADMEXT OVERSIZE PAMUK TIŞÖRT,0.0,0.0
%100 5398 BASKILI ERKEK MADMEXT MAVI PAMUK TIŞÖRT,0.0,0.0
%100 5398 BASKILI ERKEK MADMEXT PAMUK SIYAH TIŞÖRT,0.0,0.0
%100 5398 BISIKLET BLOKLU BORDO ERKEK MADMEXT PAMUK RENK TIŞÖRT YAKA,0.0,0.0
%100 541IFIT BISIKLET BURATTI ERKEK FIT PAMUK SHIRT SLIM T YAKA,0.0,0.0
%100 541IFIT BISIKLET BURATTI ERKEK FIT PAMUK SLIM TIŞÖRT YAKA,0.0,0.0
%100 541PUSULA BASKILI BISIKLET BURATTI FIT PAMUK SLIM TIŞÖRT YAKA,0.0,0.0
%100 541QUINT BISIKLET BURATTI ERKEK FIT PAMUK SLIM TIŞÖRT YAKA,0.0,0.0
%100 541REWORK BISIKLET BURATTI FIT PAMUKLU SLIM TIŞÖRT YAKA,0.0,0.0
%100 541TACTICAL BURATTI ERKEK PAMUK TIŞÖRT,0.0,0.0
%100 541WIND BASKILI BISIKLET BURATTI FIT PAMUK SLIM TIŞÖRT YAKA YAZI,0.0,0.0
%100 5598 BASIC ERKEK GÖMLEK HARDAL KISA KOLLU MADMEXT PAMUK,0.0,0.0
%100 5791 BEJ CEP JOGGER KARGO MADMEXT PAMUK PANTOLON,0.0,0.0
%100 5791 CEP JOGGER KARGO MADMEXT PAMUK PANTOLON SIYAH,0.0,0.0
%100 5806 ERKEK HAKI MADMEXT MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 5811 BEJ DESENLI ERKEK MADMEXT OVERFIT PAMUK TIŞÖRT,0.0,0.0
%100 585 ANNE BEDEN BÜYÜK GECELIĞI KOLLU KUMAŞ MEVSIMLIK PAMUKLU SEBOTEKS UZUN,0.0,0.0
